ID,P05,P16,P50,P84,P95,Pmean
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S067D50R090_A001972_S039,4.96190534204795e-08,8.902552605360241e-08,2.056015178463e-07,5.882351982516119e-07,1.2577797518372048e-06,3.6015256700228657e-07
E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S247D30R090_A006995_S075,0.0,0.0,7.0780031845102505e-09,6.695439562766279e-07,2.4818697657218756e-06,4.6129559973134096e-07
E01267N3753E01646N3535-BS-M680_E01527N3715_D010_S067D50R090_A000357_S016,1.3952857376042634e-06,2.304835220223923e-06,4.3771853351991705e-06,8.189804994526615e-06,1.337666600281983e-05,5.335251439506507e-06
E01108N3882E01527N3690-BS-M732_E01506N3760_D010_S247D30R090_A002108_S017,0.0,0.0,1.09227887946955e-06,2.7970165884526155e-06,3.5206830650034596e-06,1.2857061448945325e-06
E01267N3753E01646N3535-BS-M754_E01498N3715_D172_S067D50R090_A001972_S039,4.6907759519790996e-07,8.61143477889128e-07,1.9851432052560002e-06,5.99988772349804e-06,1.2172053100728297e-05,3.4099388198944863e-06
E01108N3882E01527N3690-BS-M774_E01477N3760_D010_S247D30R090_A005608_S028,0.0,0.0,1.931106792279e-07,1.4626623306983998e-06,1.9702180637792997e-06,5.797182920724726e-07
E01267N3753E01646N3535-BS-M754_E01502N3737_D172_S067D50R090_A001972_S039,4.96190534204795e-08,8.902552605360241e-08,2.056015178463e-07,5.882351982516119e-07,1.2577797518372048e-06,3.6015256700228657e-07
E01470N3877E01631N3641-BS-M792_E01534N3760_D010_S202D30R090_A008541_S034,0.0,0.0,4.502029431048e-09,6.456566644181119e-07,1.9009423587064985e-06,3.8703307428179423e-07
E01108N3882E01527N3690-BS-M792_E01506N3760_D010_S247D30R090_A008541_S034,0.0,0.0,3.7107279216176e-08,1.1495968679523487e-06,1.59550230796575e-06,4.2675995479225605e-07
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S202D30R090_A003524_S022,9.911957064355e-08,2.3030487815928e-07,5.8312846446415e-07,1.42147661076624e-06,2.7314394387850495e-06,8.593631633160387e-07
E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S067D50R090_A003139_S050,1.2705082312928401e-08,4.22621148281586e-08,1.161800785316925e-07,4.09920389894064e-07,8.283110511751045e-07,2.3564660596199519e-07
E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S067D50R090_A003139_S050,1.2705082312928401e-08,4.22621148281586e-08,1.161800785316925e-07,4.09920389894064e-07,8.283110511751045e-07,2.3564660596199519e-07
E01108N3882E01527N3690-BS-M754_E01474N3737_D140_S247D30R090_A003524_S022,0.0,0.0,4.1849971921548003e-07,1.6195964394912959e-06,2.0893059364144e-06,7.035430935363829e-07
E01267N3753E01646N3535-BS-M680_E01502N3737_D051_S247D30R090_A000357_S016,1.6630698529875001e-06,2.6881674968755197e-06,5.1366755194050005e-06,9.596815589662117e-06,1.553807901430799e-05,6.320906423054127e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S067D50R090_A001180_S030,6.155083244548912e-08,1.0518972609812512e-07,2.246248144230375e-07,5.662914076090139e-07,1.1000776796072204e-06,3.4648638095910046e-07
E01108N3882E01527N3690-BS-M792_E01445N3737_D010_S247D30R090_A008541_S034,0.0,0.0,2.9117648678687498e-08,8.858317962820497e-07,1.267986682413125e-06,3.355799572145944e-07
E01267N3753E01646N3535-BS-M732_E01502N3737_D076_S067D50R090_A001180_S030,6.155083244548912e-08,1.0518972609812512e-07,2.246248144230375e-07,5.662914076090139e-07,1.1000776796072204e-06,3.4648638095910046e-07
E01108N3882E01527N3690-BS-M792_E01442N3715_D010_S247D30R090_A008541_S034,0.0,0.0,1.8777510951531998e-08,5.761134335771135e-07,8.037133390200999e-07,2.1299444539599127e-07
E01470N3877E01631N3641-BS-M754_E01534N3760_D140_S202D30R090_A003524_S022,9.911957064355e-08,2.3030487815928e-07,5.8312846446415e-07,1.42147661076624e-06,2.7314394387850495e-06,8.593631633160387e-07
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S202D30R090_A002108_S017,2.30171721440805e-07,3.8998764771104e-07,8.6398263903955e-07,1.9560947366864395e-06,3.4660619629588993e-06,1.2058244484597681e-06
E01108N3882E01527N3690-BS-M809_E01477N3760_D010_S247D30R090_A012497_S042,0.0,0.0,3.1163014253574997e-10,4.2802382106177595e-07,6.31871093195245e-07,1.4839752456733803e-07
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S067D50R090_A001972_S039,4.6907759519790996e-07,8.61143477889128e-07,1.9851432052560002e-06,5.99988772349804e-06,1.2172053100728297e-05,3.4099388198944863e-06
E01108N3882E01527N3690-BS-M809_E01474N3737_D010_S247D30R090_A012497_S042,0.0,0.0,2.478031205912e-10,3.736922217302335e-07,5.716398268600639e-07,1.32400029321718e-07
E01108N3882E01527N3690-BS-M707_E01506N3760_D010_S247D30R090_A001194_S013,6.425186794721803e-07,9.685562876904107e-07,2.2709640001620347e-06,4.519775061959692e-06,5.626466187513699e-06,2.661214998455085e-06
E01267N3753E01646N3535-BS-M792_E01502N3737_D125_S067D50R090_A004781_S062,0.0,0.0,1.720771953407325e-08,2.1728921953695574e-07,6.186766199550143e-07,1.3278546902421335e-07
E01108N3882E01527N3690-BS-M754_E01474N3737_D010_S247D30R090_A003524_S022,0.0,0.0,4.1849971921548003e-07,1.6195964394912959e-06,2.0893059364144e-06,7.035430935363829e-07
E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S067D50R090_A004781_S062,0.0,0.0,1.720771953407325e-08,2.1728921953695574e-07,6.186766199550143e-07,1.3278546902421335e-07
