scenario,max_flow_depth,inundated_pixels,max_eta,is_train,log_max_eta,square_max_eta
7_PS_2798/1074_E02020N3739E02658N3366-PS-Str_PYes_Var-M809_E02148N3497_S000,2.1561556,10239,0.746108,TRUE,-0.12719831,0.556677148
10_PS_2803/0988_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02425N3440_S002,3.5894105,28146,1.690849,TRUE,0.22810481,2.858970341
2_PS_2798/1287_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02335N3468_S003,9.11067,196490,3.3380017,TRUE,0.52348655,11.14225535
2_PS_2798/0761_E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02243N3539_S005,5.774066,121870,2.0380876,TRUE,0.30922285,4.153801065
10_PS_2803/1762_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01710N3774_S003,6.6265287,173883,3.1965,TRUE,0.50467473,10.21761225
7_PS_2798/2190_E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3544_S001,5.635331,57541,2.4945982,TRUE,0.3970006,6.223020179
3_PS_2798/1945_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01725N3727_S001,6.8090277,255825,4.3179703,TRUE,0.63527966,18.64486751
9_PS_2798/1229_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01670N3819_S002,7.134832,238992,3.979889,TRUE,0.599871,15.83951645
10_PS_2803/1719_E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02128N3626_S003,5.1186085,121333,2.7106407,TRUE,0.43307194,7.347573004
3_PS_2798/0243_E01577N3897E01966N3571-PS-Str_PYes_Var-M861_E01739N3699_S005,6.078731,173269,3.4391735,TRUE,0.5364541,11.82791436
7_PS_2798/0930_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02209N3537_S003,8.556004,121878,3.5069706,TRUE,0.5449321,12.29884279
5_PS_2798/2233_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01715N3697_S002,7.4913383,251043,4.158155,TRUE,0.61890066,17.290253
5_PS_2798/0228_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02183N3593_S005,6.3742104,132220,2.5148077,TRUE,0.40050477,6.324257768
3_PS_2798/1217_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01760N3738_S004,7.5330944,238105,3.4530158,TRUE,0.5381986,11.92331812
5_PS_2798/0540_E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02175N3577_S004,6.372369,120028,2.8812299,TRUE,0.45957792,8.301485737
5_PS_2798/1371_E01548N3896E01854N3659-PS-Str_PYes_Var-M824_E01755N3814_S000,4.269263,43117,1.6423523,TRUE,0.21546634,2.697321077
10_PS_2803/1094_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02304N3498_S003,13.675094,183143,4.307487,TRUE,0.634224,18.55444426
7_PS_2798/0421_E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02458N3438_S004,6.8094997,123497,2.9282668,TRUE,0.46661064,8.574746452
9_PS_2798/1357_E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S002,12.216331,212793,4.3223515,TRUE,0.6357201,18.68272249
2_PS_2798/2506_E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01720N3803_S000,3.1485448,24582,1.5178429,TRUE,0.18122682,2.303847069
PS_2798/0691_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01707N3812_S002,9.732381,367715,4.6756516,TRUE,0.6698421,21.86171788
2_PS_2798/0197_E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02467N3448_S003,2.3628848,13730,0.7711143,FALSE,-0.11288125,0.594617264
6_PS_2798/0707_E02020N3739E02658N3366-PS-Str_PYes_Var-M850_E02189N3538_S000,2.22262,12440,0.8130142,FALSE,-0.089901865,0.660992089
2_PS_2798/1137_E01548N3896E01854N3659-PS-Str_PYes_Hom-M732_E01825N3856_S000,0.7796951,3471,0.30651444,FALSE,-0.51354903,0.093951102
5_PS_2798/0370_E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02109N3622_S005,3.1478972,21945,1.1728482,FALSE,0.069241814,1.3755729
