Index	Folder	PID	ID	Source_Region	Type	Scaling	Rupture Model	Rigidity	Mag	Slip Model	Lat	Long	max_flow_depth	inundated_pixels	max_eta	is_train	log_max_eta	square_max_eta
632	5_PS_2798	631	E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02250N3552_S003	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.88	S003	35.52	22.5	4.8336754	55513	2.2465808	TRUE	0.35152206	5.047125291
633	4_PS_2798	1939	E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02409N3467_S005	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.95	S005	34.67	24.09	7.382489	125824	2.993027	TRUE	0.47611064	8.958210623
634	2_PS_2798	604	E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01689N3734_S004	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.61	S004	37.34	16.89	6.4293647	169058	3.6342542	TRUE	0.5604153	13.20780359
635	10_PS_2803	964	E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02133N3599_S001	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.8	S001	35.99	21.33	4.696927	51387	1.9423128	TRUE	0.28831917	3.772579013
636	8_PS_2798	865	E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02120N3675_S001	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.61	S001	36.75	21.2	4.650774	61228	1.4906859	TRUE	0.17338616	2.222144452
637	PS_2798	268	E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02165N3634_S002	E02020N3739E02658N3366	PS	Str	PYes	Var	8.8	S002	36.34	21.65	4.749364	59715	2.2773123	TRUE	0.3574226	5.186151312
638	6_PS_2798	987	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02393N3468_S001	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S001	34.68	23.93	11.402468	181911	4.03668	TRUE	0.6060243	16.29478542
639	3_PS_2798	401	E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01689N3734_S001	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.61	S001	37.34	16.89	6.0085406	87314	2.1303475	TRUE	0.32845044	4.538380471
640	5_PS_2798	800	E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02155N3547_S001	E02020N3739E02658N3366	PS	Str	PYes	Var	8.61	S001	35.47	21.55	4.187276	29563	1.9533876	TRUE	0.29078844	3.815723116
641	2_PS_2798	2653	E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02239N3505_S004	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.61	S004	35.05	22.39	4.3254223	23178	1.7637203	TRUE	0.24642971	3.110709297
642	4_PS_2798	2712	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02236N3526_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S002	35.26	22.36	6.350029	132033	2.8964736	TRUE	0.46186957	8.389559315
643	3_PS_2798	243	E01577N3897E01966N3571-PS-Str_PYes_Var-M861_E01739N3699_S005	E01577N3897E01966N3571	PS	Str	PYes	Var	8.61	S005	36.99	17.39	6.078731	173269	3.4391735	TRUE	0.5364541	11.82791436
644	4_PS_2798	498	E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02092N3663_S002	E02020N3739E02658N3366	PS	Str	PYes	Var	8.8	S002	36.63	20.92	4.538447	75245	2.0102758	TRUE	0.30325565	4.041208792
645	4_PS_2798	972	E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02236N3526_S001	E02020N3739E02658N3366	PS	Str	PYes	Var	9.02	S001	35.26	22.36	8.379656	195575	3.3259358	TRUE	0.5219139	11.06184895
646	4_PS_2798	695	E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02217N3548_S004	E02020N3739E02658N3366	PS	Str	PYes	Var	9.02	S004	35.48	22.17	10.103922	192922	3.252581	TRUE	0.51222813	10.57928316
647	7_PS_2798	2388	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02184N3552_S003	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S003	35.52	21.84	6.016469	173732	3.2350225	TRUE	0.5098773	10.46537058
648	9_PS_2798	1336	E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02226N3538_S004	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.8	S004	35.38	22.26	4.356515	36362	2.4261324	TRUE	0.38491452	5.886118422
649	4_PS_2798	613	E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02194N3513_S004	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.61	S004	35.13	21.94	3.731438	27839	1.8749866	TRUE	0.27299818	3.51557475
650	7_PS_2798	1821	E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02250N3552_S001	E02020N3739E02658N3366	PS	Str	PYes	Var	8.88	S001	35.52	22.5	5.461404	63243	2.2439544	TRUE	0.35101402	5.035331349
651	6_PS_2798	1565	E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02311N3485_S001	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.88	S001	34.85	23.11	6.409542	79232	2.9200442	TRUE	0.46538943	8.52665813
652	6_PS_2798	954	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01732N3794_S003	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S003	37.94	17.32	6.971563	230160	3.6958249	TRUE	0.56771135	13.65912169
653	7_PS_2798	117	E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02401N3479_S004	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.88	S004	34.79	24.01	3.0536518	18581	1.1466832	TRUE	0.059443455	1.314882361
654	PS_2798	790	E01548N3896E01854N3659-PS-Mur_PYes_Var-M732_E01741N3842_S000	E01548N3896E01854N3659	PS	Mur	PYes	Var	7.32	S000	38.42	17.41	0.75684017	2990	0.16763315	TRUE	-0.77564013	0.028100873
655	10_PS_2803	2108	E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02146N3630_S005	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.61	S005	36.3	21.46	3.197639	20540	1.4769715	TRUE	0.16937211	2.181444812
656	9_PS_2798	839	E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01699N3763_S000	E01548N3896E01854N3659	PS	Mur	PYes	Hom	8.24	S000	37.63	16.99	2.3774962	12305	1.5043532	TRUE	0.1773498	2.26307855
657	5_PS_2798	592	E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02361N3475_S004	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.88	S004	34.75	23.61	7.3184023	94847	3.0857487	TRUE	0.48936054	9.52184504
658	6_PS_2798	924	E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02125N3584_S002	E02020N3739E02658N3366	PS	Str	PYes	Var	8.61	S002	35.84	21.25	4.122071	33611	2.0735097	TRUE	0.31670606	4.299442476
659	7_PS_2798	2190	E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3544_S001	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.8	S001	35.44	21.71	5.635331	57541	2.4945982	TRUE	0.3970006	6.223020179
660	5_PS_2798	383	E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02434N3452_S005	E02020N3739E02658N3366	PS	Str	PYes	Var	9.02	S005	34.52	24.34	8.897047	193171	3.6232955	TRUE	0.5591038	13.12827028
661	PS_2798	2787	E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02174N3531_S003	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.8	S003	35.31	21.74	5.719833	49550	2.793328	TRUE	0.44612193	7.802681316
662	6_PS_2798	1269	E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02201N3524_S003	E02020N3739E02658N3366	PS	Str	PYes	Var	8.61	S003	35.24	22.01	4.3315353	31318	2.167519	TRUE	0.33596292	4.698138615
663	4_PS_2798	1001	E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01756N3795_S003	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.61	S003	37.95	17.56	5.870415	131457	2.9608698	TRUE	0.4714193	8.766749973
664	5_PS_2798	742	E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01649N3780_S000	E01548N3896E01854N3659	PS	Mur	PYes	Hom	7.74	S000	37.8	16.49	1.2437723	6269	0.3434451	TRUE	-0.46414268	0.117954537
