ID,mean_prob
E01470N3877E01631N3641-BS-M809_E01534N3760_D010_S202D30R090_A012497_S042,1.603423838104217e-07
E01267N3753E01646N3535-BS-M732_E01502N3737_D142_S067D50R090_A001180_S030,3.4648638095910046e-07
E01267N3753E01646N3535-BS-M680_E01502N3737_D010_S247D30R090_A000357_S016,6.320906423054127e-06
E01267N3753E01646N3535-BS-M707_E01502N3737_D010_S067D50R090_A000668_S023,5.661961876953588e-07
E01267N3753E01646N3535-BS-M707_E01527N3715_D115_S067D50R090_A000668_S023,5.3944995571671295e-06
E01267N3753E01646N3535-BS-M680_E01502N3737_D092_S247D30R090_A000357_S016,6.320906423054127e-06
E01889N4173E02097N3847-BS-M754_E02038N3850_D140_S337D30R090_A003524_S022,1.0095571684577615e-06
E01108N3882E01527N3690-BS-M809_E01506N3760_D010_S247D30R090_A012497_S042,1.4898128575148253e-07
E01108N3882E01527N3690-BS-M809_E01445N3737_D010_S247D30R090_A012497_S042,1.1727333926757299e-07
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S202D50R090_A001972_S039,8.112251116462004e-08
E01108N3882E01527N3690-BS-M809_E01442N3715_D010_S247D30R090_A012497_S042,7.434167105931231e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S202D50R090_A001972_S039,8.112251116462004e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S157D50R090_A003524_S022,6.222508458642243e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S022D50R090_A001972_S039,7.483262780984835e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S337D50R090_A003524_S022,6.16164520463279e-08
E01470N3877E01631N3641-BS-M792_E01538N3782_D010_S022D30R270_A008541_S034,5.312409921030382e-07
E01267N3753E01646N3535-BS-M732_E01502N3737_D208_S067D50R090_A001180_S030,3.4648638095910046e-07
E01108N3882E01527N3690-BS-M809_E01417N3737_D010_S247D30R090_A012497_S042,6.348384715689312e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S022D50R090_A001972_S039,7.483262780984835e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S202D50R090_A003524_S022,6.297318246452231e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S067D30R090_A001972_S039,5.870215152487289e-08
E01470N3877E01631N3641-BS-M774_E01538N3782_D010_S022D30R270_A005608_S028,9.676561475478274e-07
E01470N3877E01631N3641-BS-M732_E01534N3760_D115_S202D30R090_A002108_S017,1.2058244484597681e-06
E01470N3877E01631N3641-BS-M754_E01603N3670_D010_S247D10R090_A003524_S022,3.509616163570315e-07
E01470N3877E01631N3641-BS-M792_E01603N3670_D010_S337D70R270_A008541_S034,1.2214561014948716e-07
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S202D30R090_A001972_S039,5.804468931563319e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S337D50R090_A002108_S017,5.6026716578890154e-08
E01470N3877E01631N3641-BS-M707_E01534N3760_D094_S292D50R090_A001194_S013,8.410720017034825e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S022D50R090_A003524_S022,5.9244099751569435e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S157D50R090_A002108_S017,5.777104577918215e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S202D30R090_A001972_S039,5.804468931563319e-08
E01108N3882E01527N3690-BS-M707_E01506N3760_D094_S247D30R090_A001194_S013,2.661214998455085e-06
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S022D50R090_A003139_S050,4.907850274360006e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S202D50R090_A003139_S050,5.309310625334906e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S022D50R090_A003139_S050,4.907850274360006e-08
E01889N4173E02097N3847-BS-M754_E02014N3872_D010_S337D30R090_A003524_S022,3.636345701265706e-06
E01889N4173E02097N3847-BS-M774_E02014N3872_D010_S337D30R090_A005608_S028,7.138786732858145e-07
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S202D50R090_A003139_S050,5.309310625334906e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S247D50R090_A002108_S017,6.404632473159575e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S112D50R090_A002108_S017,5.50075727852543e-08
E01267N3753E01646N3535-BS-M680_E01502N3737_D133_S247D30R090_A000357_S016,6.320906423054127e-06
E01267N3753E01646N3535-BS-M809_E01502N3737_D144_S067D50R090_A006995_S075,5.212967380413257e-08
E01889N4173E02097N3847-BS-M792_E01996N3917_D010_S292D30R090_A008541_S034,4.737526676803752e-07
E01267N3753E01646N3535-BS-M707_E01502N3737_D115_S067D50R090_A000668_S023,5.661961876953588e-07
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S337D30R090_A003524_S022,4.117361482459914e-08
E01470N3877E01631N3641-BS-M707_E01583N3715_D010_S022D50R090_A001194_S013,6.215287730768466e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S022D30R090_A003524_S022,4.607819037193568e-08
E01267N3753E01646N3535-BS-M732_E01498N3715_D010_S202D50R090_A001180_S030,7.803179188031336e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S247D50R270_A003139_S050,4.3790278659901233e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S157D30R090_A003524_S022,4.065594155886545e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D172_S202D50R090_A001972_S039,8.112251116462004e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S247D30R090_A001972_S039,5.736330598812832e-08
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S247D50R090_A003524_S022,4.569657116584775e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S292D50R090_A002108_S017,5.62525633733738e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S112D50R090_A003524_S022,6.1717780569129e-08
E01470N3877E01631N3641-BS-M809_E01538N3782_D010_S022D30R270_A012497_S042,2.2050235573985807e-07
E01267N3753E01646N3535-BS-M754_E01523N3692_D010_S067D50R090_A001972_S039,4.35546100096068e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S247D50R090_A003524_S022,7.23227665602409e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S292D50R090_A001972_S039,3.97168176417527e-08
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S022D50R090_A001180_S030,4.463754430617925e-08
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S292D50R090_A003524_S022,3.9872498895643236e-08
E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S067D50R090_A006995_S075,5.212967380413257e-08
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S202D50R090_A001180_S030,4.039425956038541e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S112D50R090_A001972_S039,4.2423972657601196e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S067D50R270_A003139_S050,4.507460692531567e-08
