ID	max_flow_depth	inundated_pixels	max_eta	is_train	log_max_eta	square_max_eta	folder	pid	Source_Region	Mag	lon	lat	Location	LocationCount	DepCat	InuCat
5_PS_2798/0540_E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02175N3577_S004	6.372369	120028	2.8812299	True	0.45957792	8.301485737	5_PS_2798	0540	E02020N3739E02658N3366	8.88	21.75	35.77	35772175	65.0	4	5
5_PS_2798/1371_E01548N3896E01854N3659-PS-Str_PYes_Var-M824_E01755N3814_S000	4.269263	43117	1.6423523	True	0.21546634	2.697321077	5_PS_2798	1371	E01548N3896E01854N3659	8.24	17.55	38.14	38141755	29.0	3	3
10_PS_2803/1094_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02304N3498_S003	13.675094	183143	4.307487	True	0.634224	18.55444426	10_PS_2803	1094	E02020N3739E02658N3366	9.02	23.04	34.98	34972304	53.0	5	5
7_PS_2798/0421_E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02458N3438_S004	6.8094997	123497	2.9282668	True	0.46661064	8.574746452	7_PS_2798	0421	E02020N3739E02658N3366	8.95	24.58	34.38	34382458	41.0	4	5
9_PS_2798/1357_E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S002	12.216331	212793	4.3223515	True	0.6357201	18.68272249	9_PS_2798	1357	E02020N3739E02658N3366	8.95	24.26	34.65	34652426	29.0	5	5
2_PS_2798/2506_E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01720N3803_S000	3.1485448	24582	1.5178429	True	0.18122682	2.303847069	2_PS_2798	2506	E01548N3896E01854N3659	8.24	17.2	38.03	38031720	16.0	3	2
PS_2798/0691_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01707N3812_S002	9.732381	367715	4.6756516	True	0.6698421	21.86171788	PS_2798	0691	E01548N3896E01854N3659	8.61	17.07	38.12	38111707	20.0	5	5
2_PS_2798/0197_E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02467N3448_S003	2.3628848	13730	0.7711143	False	-0.11288125	0.594617264	2_PS_2798	0197	E02020N3739E02658N3366	8.8	24.67	34.48	34472467	45.0	3	2
6_PS_2798/0707_E02020N3739E02658N3366-PS-Str_PYes_Var-M850_E02189N3538_S000	2.22262	12440	0.8130142	False	-0.089901865	0.660992089	6_PS_2798	0707	E02020N3739E02658N3366	8.5	21.89	35.38	35382189	55.0	3	2
2_PS_2798/1137_E01548N3896E01854N3659-PS-Str_PYes_Hom-M732_E01825N3856_S000	0.7796951	3471	0.30651444	False	-0.51354903	0.093951102	2_PS_2798	1137	E01548N3896E01854N3659	7.32	18.25	38.56	38561825	13.0	1	1
5_PS_2798/0370_E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02109N3622_S005	3.1478972	21945	1.1728482	False	0.069241814	1.3755729	5_PS_2798	0370	E02020N3739E02658N3366	8.61	21.09	36.22	36222109	32.0	3	2
5_PS_2798/1572_E01548N3896E01854N3659-PS-Mur_PYes_Var-M707_E01679N3705_S000	0.61045367	2251	0.14558057	False	-0.8368966	0.021193702	5_PS_2798	1572	E01548N3896E01854N3659	7.07	16.79	37.05	37041679	19.0	1	1
