Unnamed: 0,mse,r2,g,l2n,true,pred,truemax,predmax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id,max_off_bin,split,Mag
8998,0.1825523094833498,0.3692258110558462,0.4729178900266462,0.5457229103796156,12559.0,5440.0,12.4811429977417,8.539848327636719,BS_manning003/E01267N3753E01646N3535-BS-M809_E01439N3692_D010_S247D30R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01439N3692_D010_S247D30R090_A006995_S075,1.6,12,7.7,3.558120359835581e-09,0.336,-4.107,12559,12.481,14.3907,36.9278,36921439,19.0,4.107,0.0,5.692992575736931e-09,1.8674136321195144e-05,42.0,"36.857,14.142","(1.0, 2.0]",test,8.0933
7617,0.1823278587507274,0.933456926030326,0.0303324243955469,1.8751083126220431,88916.0,85375.0,18.97543334960937,14.53831672668457,BS_manning003/E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S292D70R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S292D70R270_A004781_S062,1.72,13,8.3,4.1596444394315795e-09,2.305,1.06,88916,18.975,15.2345,36.9278,36921523,927.0,2.305,0.0,7.154588435822317e-09,1.8674136321195144e-05,2045.0,"36.857,15.042","(1.0, 2.0]",test,7.928
9193,0.1821123144092586,0.6440634703878605,0.2168273337039392,0.7662876461095944,40533.0,29416.0,8.062981605529785,6.878883361816406,BS_manning003/E01470N3877E01631N3641-BS-M774_E01579N3692_D010_S292D70R270_A005608_S028,E01470N3877E01631N3641-BS-M774_E01579N3692_D010_S292D70R270_A005608_S028,1.21,14,8.0,1.9726252117063024e-09,1.702,-0.948,40533,8.063,15.797,36.9278,36921579,475.0,1.702,0.0,2.386876506164625e-09,1.8674136321195144e-05,1050.0,"36.857,15.642","(1.0, 2.0]",test,7.7453
9297,0.1814355025282388,0.4278377860120474,0.4717631288058593,0.5801126592104827,25690.0,9815.0,9.438894271850586,4.254229545593262,BS_manning003/E01267N3753E01646N3535-BS-M754_E01519N3670_D010_S022D70R090_A001972_S039,E01267N3753E01646N3535-BS-M754_E01519N3670_D010_S022D70R090_A001972_S039,1.58,13,8.3,6.599180282718185e-09,1.333,-2.381,25690,9.439,15.1986,36.7029,36701519,388.0,2.381,0.0,1.0426704846694733e-08,1.8674136321195144e-05,388.0,"36.557,15.042","(1.0, 2.0]",test,7.5435
10244,0.1805443416900153,0.7350196033943301,0.1832405548421605,0.8490874749405135,30308.0,18914.0,13.02441692352295,8.733770370483398,BS_manning003/E01267N3753E01646N3535-BS-M792_E01467N3692_D010_S112D50R090_A004781_S062,E01267N3753E01646N3535-BS-M792_E01467N3692_D010_S112D50R090_A004781_S062,0.8,11,8.3,7.881173109691384e-09,0.43,0.193,30308,13.024,14.672,36.9278,36921467,100.0,0.43,0.0,6.304938487753107e-09,1.8674136321195144e-05,337.0,"36.857,14.442","(0.3, 1.0]",test,7.928
91,0.1798845348573896,0.8744279193925463,0.0624238102030156,1.2909099678319884,63971.0,48821.0,16.340831756591797,12.936864852905272,BS_manning003/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S292D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S292D50R270_A006995_S075,1.98,13,8.0,1.8465430461885503e-09,1.673,0.448,63971,16.341,15.7595,36.7029,36701575,602.0,1.673,0.0,3.6561552314533294e-09,1.8674136321195144e-05,602.0,"36.557,15.642","(1.0, 2.0]",test,8.0933
3510,0.1797693847299827,0.9325120356830556,0.0319001715572033,1.7451898374220944,64219.0,46374.0,20.89626693725586,18.61506462097168,BS_manning003/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S202D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S202D50R270_A006995_S075,6.72,20,7.7,2.2121444391238674e-09,-0.065,-0.088,64220,20.896,15.7595,36.7029,36701575,602.0,0.088,1.0,1.4865610630912389e-08,1.8674136321195144e-05,602.0,"36.557,15.642","(3.0, 99.0]",test,8.0933
3197,0.1791722028871125,0.8457133358519127,0.062738874110159,1.1844916590229244,61855.0,74022.0,11.978008270263672,8.408951759338379,BS_manning003/E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S157D90R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S157D90R090_A006995_S075,1.97,16,7.7,1.427310060695534e-09,2.493,1.406,61855,11.978,14.9887,37.1526,37151498,656.0,2.493,0.0,2.811800819570202e-09,1.8674136321195144e-05,990.0,"36.857,14.742","(1.0, 2.0]",test,8.0933
9527,0.1787545684323276,0.0059301502885366,0.897086165860155,0.442972766925858,30314.0,2709.0,6.020874500274658,1.512765407562256,BS_manning003/E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S157D30R270_A001972_S039,E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S157D30R270_A001972_S039,0.41,14,8.0,1.7092207979597427e-08,1.843,-0.115,30314,6.021,15.0245,37.3774,37371502,919.0,1.843,0.0,7.007805271634944e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(0.3, 1.0]",train,7.5435
11311,0.1787539899134573,0.813162571256046,0.1075528215160533,1.0241861008761697,44801.0,41678.0,15.656597137451172,9.55151653289795,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01460N3647_D010_S067D90R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01460N3647_D010_S067D90R090_A006995_S075,1.19,12,7.7,2.8436517524015326e-10,0.718,0.419,44801,15.657,14.6039,36.4781,36471460,11.0,0.718,0.0,3.3839455853578237e-10,1.8674136321195144e-05,11.0,"36.257,14.442","(1.0, 2.0]",test,8.0933
