,eid,eve_id,id,mean_prob
78,78,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01714N3860_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01714N3860_S000,1.471533030251171e-07
79,79,E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01605N3720_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01605N3720_S000,4.731703123005821e-07
80,80,E01849N3766E02950N3220-PS-Str_PYes_Var-M824_E02064N3530_S000,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M824_E02064N3530_S000,4.0911634497750016e-08
81,81,E02113N3823E02873N3483-PS-Str_PYes_Var-M824_E02236N3646_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M824_E02236N3646_S000,6.547735646407343e-06
82,82,E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01760N3738_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01760N3738_S000,8.75590639979713e-08
83,83,E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S005,7.799009320084345e-09
84,84,E01517N3917E01678N3772-PS-Str_PNo_Var-M774_E01585N3824_S000,PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Var-M774_E01585N3824_S000,6.764739074625674e-06
85,85,E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02344N3478_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02344N3478_S002,7.050509988604217e-09
86,86,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01768N3805_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01768N3805_S000,2.6917608888761043e-08
87,87,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02214N3447_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02214N3447_S000,1.4448814982887325e-07
88,88,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02118N3568_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02118N3568_S001,2.6439508524469453e-08
89,89,E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01828N3798_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01828N3798_S000,2.5760579880159482e-08
90,90,E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02467N3448_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02467N3448_S005,7.071917583510934e-09
91,91,E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02461N3461_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02461N3461_S002,2.0628221200229584e-08
92,92,E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01700N3744_S004,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01700N3744_S004,2.650358090018604e-09
93,93,E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02359N3451_S003,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02359N3451_S003,2.7870144965899632e-08
94,94,E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02441N3439_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02441N3439_S005,2.7839980082952633e-08
95,95,E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02311N3485_S002,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02311N3485_S002,2.8223884528983452e-08
96,96,E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3606_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3606_S003,7.154735753028353e-09
97,97,E01548N3896E01854N3659-PS-Mur_PYes_Var-M732_E01749N3728_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M732_E01749N3728_S000,2.811563299694316e-07
98,98,E02643N3661E02922N3454-PS-Str_PYes_Hom-M837_E02679N3489_S000,PS_manning003/E02643N3661E02922N3454-PS-Str_PYes_Hom-M837_E02679N3489_S000,1.0594313563899993e-05
99,99,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02294N3487_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02294N3487_S004,3.2954785401790794e-08
100,100,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02226N3500_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02226N3500_S004,6.759886832571417e-09
101,101,E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02152N3603_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02152N3603_S003,2.9552074814572344e-08
102,102,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02076N3673_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02076N3673_S000,1.989719894536969e-07
103,103,E02020N3739E02658N3366-PS-Str_PNo_Hom-M824_E02182N3695_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M824_E02182N3695_S000,3.26128920948446e-06
104,104,E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02109N3622_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02109N3622_S005,2.9400056317765373e-08
105,105,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02152N3603_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02152N3603_S004,2.9552074814572344e-08
106,106,E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02370N3485_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02370N3485_S003,3.277124368877689e-09
107,107,E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02164N3590_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02164N3590_S004,1.3432334880588877e-08
108,108,E02113N3823E02873N3483-PS-Str_PYes_Var-M850_E02422N3500_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M850_E02422N3500_S000,2.339413223209335e-05
109,109,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02134N3641_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02134N3641_S005,2.064593479963636e-08
110,110,E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02156N3661_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02156N3661_S005,3.4157407195992582e-09
111,111,E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01774N3873_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01774N3873_S000,3.2215870427887377e-07
112,112,E01577N3897E01966N3571-PS-Str_PYes_Hom-M792_E01796N3749_S000,PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Hom-M792_E01796N3749_S000,2.370889535623831e-07
113,113,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02121N3611_S003,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02121N3611_S003,1.9673021011441533e-08
114,114,E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02280N3610_S000,PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02280N3610_S000,1.0518799382507193e-05
115,115,E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02434N3452_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02434N3452_S001,2.0321780289111573e-08
116,116,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02498N3423_S003,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02498N3423_S003,7.042432515949088e-09
117,117,E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004,2.1106870143136617e-08
118,118,E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02515N3431_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02515N3431_S001,7.063590725773581e-09
119,119,E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02344N3564_S003,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02344N3564_S003,5.720262571294793e-08
120,120,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02171N3606_S002,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02171N3606_S002,7.154735753028353e-09
121,121,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02337N3493_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02337N3493_S004,2.8359769654403444e-08
122,122,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02335N3468_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02335N3468_S004,7.064246931135257e-09
123,123,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M850_E02465N3496_S000,PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M850_E02465N3496_S000,1.4548238988016202e-06
124,124,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02288N3555_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02288N3555_S004,1.7476346030499246e-08
125,125,E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02534N3432_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02534N3432_S002,5.691750407234183e-09
126,126,E01849N3766E02950N3220-PS-Str_PYes_Hom-M871_E02095N3592_S003,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M871_E02095N3592_S003,1.2098158597872113e-07
127,127,E01849N3766E02950N3220-PS-Str_PYes_Var-M774_E02014N3634_S000,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M774_E02014N3634_S000,2.3182039662779893e-07
