eid,s0
266,2.7947146722874456e-08
267,6.980372636879431e-07
268,2.7371026003940733e-06
269,1.302338835455137e-07
270,7.1075987867433845e-09
271,1.9511418623665948e-08
272,5.78191893702018e-08
273,2.9575465526213294e-08
274,1.396077417250434e-06
275,7.941626165661902e-08
276,1.339817744414158e-07
277,3.052200758427848e-08
278,1.9768568462515202e-08
279,2.269090635701709e-07
280,2.0271992725242413e-07
281,5.6413037332711913e-08
282,2.2380750830600161e-07
283,7.674629979436796e-08
284,1.8944927938774168e-08
285,1.8176280081808613e-08
286,3.1203213290643854e-08
287,9.80017963262431e-07
288,1.4216283066582213e-07
289,6.222462035110835e-06
290,2.8450702695275244e-08
291,4.222690318795454e-06
292,6.037196252912726e-07
293,8.26660686048534e-08
294,1.3433829688859874e-08
295,2.7618231604651432e-08
296,1.3405177334574672e-08
297,2.9678745790627963e-08
298,2.0321780289111573e-08
299,2.021612348773757e-08
300,1.0349747463128764e-05
301,3.800425301245872e-06
302,3.0264081596600485e-08
303,1.1395471655438367e-05
304,2.7435621878534287e-09
305,3.392935054763866e-08
306,6.586078127691886e-08
307,2.7867703122037112e-08
308,3.065408487150272e-06
309,1.885757154971557e-07
310,3.045808333611068e-09
311,6.346513857696357e-06
312,2.0355958065927228e-08
313,3.166586166898592e-07
314,3.17926861873931e-08
315,8.394711951959494e-08
316,1.9660786695877173e-07
317,3.0553648106932983e-08
318,1.0651386374953964e-07
319,1.896632471529476e-08
320,1.9422540345648242e-08
321,4.388117590316515e-07
322,4.048776072832853e-06
323,3.691613377764364e-06
324,3.415163151471255e-09
325,1.3526507801660522e-08
326,1.4864903921201518e-07
327,1.0899403094508083e-05
328,3.035958906699568e-08
329,7.828558631281913e-07
330,7.020756588145027e-09
331,2.22249971961132e-07
332,1.1330270402011934e-05
333,2.61284712621e-09
334,2.695503462555125e-08
335,2.116584327644658e-07
336,5.653788161660929e-07
337,1.2847864846666197e-08
338,1.9876454534789853e-08
339,5.646815700677797e-08
340,9.371841085313784e-08
341,1.0950611289805657e-05
342,1.5507781665730222e-08
343,1.966098045692419e-08
344,6.468132734993536e-06
345,3.2857969582979573e-08
346,2.1806120836117482e-07
347,3.1934081191333734e-08
348,5.607821614476764e-08
349,7.144683007962536e-09
350,1.378324655609012e-08
351,3.035123323242946e-09
352,2.0220450399610858e-08
353,3.2657559320659855e-08
354,6.135352819681568e-08
355,1.4782517047159425e-07
356,8.977771323200186e-06
357,1.9084586526312497e-08
358,7.051478918089267e-09
359,5.690458757983599e-09
360,1.685897690104645e-07
361,3.725315252430776e-08
362,1.4760469856136586e-07
363,2.8189700670558884e-08
364,1.0427710732224801e-07
365,1.988083730590088e-07
366,2.139097039080119e-07
367,1.5174561757696144e-07
368,7.110872996496202e-09
369,1.3381304104998072e-08
370,2.1576043916582533e-08
371,3.072596525713054e-08
372,3.4163542225885585e-06
373,4.534957070576995e-06
374,1.514732784265564e-06
375,7.022815650763536e-09
376,4.739064928261816e-06
377,1.739199005136802e-07
378,1.7375034540167145e-07
379,1.698447198931778e-07
380,1.0818193485037217e-06
381,5.3559046921745824e-08
382,1.893127173417428e-08
383,5.634917840208521e-09
384,1.4133943168602786e-07
385,1.952990753170687e-08
386,3.378107867197262e-08
387,2.1622661957384877e-07
388,5.699284353290145e-09
389,1.378324655609012e-08
390,1.2966846995350234e-07
391,2.6085434721280637e-08
392,4.25204477138421e-08
393,5.1839604848353954e-08
394,1.344942153329454e-07
395,9.94295816645078e-06
396,1.9836958879002923e-08
397,1.204601649022215e-08
398,1.421118252447601e-07
399,4.754204090189788e-08
400,1.6545907834787804e-08
401,3.5716042484928825e-06
402,1.8747996683568452e-08
403,2.9698374026689805e-08
404,1.940862938392585e-07
405,3.348751848709638e-08
406,1.1920504937611882e-05
407,8.234257032435831e-08
408,1.312878402881813e-07
409,1.597374204979515e-07
410,4.324620271307783e-06
411,1.317367990905628e-07
412,2.0090193600180104e-07
413,3.3576036636941354e-08
414,1.2666427738530845e-06
