eid,p84
417,3.254864112705366e-05
418,1.47638501761628e-07
419,2.17055050677359e-07
420,4.033293345934838e-07
421,1.20495145631097e-07
422,2.0244749968234547e-07
423,2.22616564417418e-07
424,6.026707402966922e-07
425,9.455188084639573e-08
426,2.2464879226222277e-07
427,2.0285678452316144e-07
428,8.09981822134968e-08
429,7.43595084281005e-06
430,2.695953640967316e-09
431,1.45838133561998e-07
432,1.492119619337192e-09
433,3.406655894012487e-09
434,9.60465546029205e-07
435,5.54790351939631e-07
436,5.136789258504591e-07
437,5.00757218250189e-08
438,1.1629077542901183e-07
439,5.078365418056589e-06
440,1.0447702679666532e-06
441,5.173331197443769e-07
442,5.070318567766765e-07
443,1.4583318554132038e-07
444,4.3906441202194224e-08
445,6.677683108609955e-07
446,5.59491740875316e-08
447,4.147439175259559e-08
448,1.86802547770632e-08
449,1.31753294900503e-05
450,6.075662360011577e-09
451,7.182406667778779e-08
452,2.7963546845364613e-07
453,3.69298576949899e-07
454,8.09981822134968e-08
455,1.3905886855636e-05
456,4.61961492780028e-08
457,9.559976135508174e-07
458,7.290151335571118e-08
459,9.274868686859414e-09
460,4.65928636e-08
461,7.164507670903237e-08
462,4.52986481575488e-08
463,2.4593034482766014e-05
464,3.801640490647291e-08
465,4.94846625767406e-07
466,3.228610440528208e-08
467,1.04054211385462e-06
468,5.16674106e-08
469,4.3005691376398e-07
470,2.04926923076718e-05
471,7.74432432431658e-08
472,8.01710838343364e-07
473,1.10811034739577e-06
474,1.80016589934279e-08
475,2.8257464371217776e-07
476,1.52233333333455e-06
477,1.46231444768686e-07
478,5.01024358e-08
479,2.8330678484204175e-07
480,6.751452814481775e-05
481,7.743013319648775e-06
482,6.639050019981728e-07
483,1.80808451766819e-08
484,0.0
485,5.0167788819940196e-08
486,6.5320175438586e-08
487,1.03323871519927e-06
488,4.96685814e-08
489,1.9934833015640853e-06
490,0.0
491,5.03629668381369e-07
492,1.2090740575098739e-05
493,4.33109342590118e-08
494,4.668588786312594e-08
495,3.19858407079505e-08
496,5.8372939999999474e-08
497,5.275305070335186e-07
498,1.5558515541587771e-09
499,7.088184057635508e-06
500,1.10811034739577e-06
501,2.2503693881268673e-06
502,4.3768478992805404e-08
503,4.61961492780028e-08
504,3.372707704216652e-05
505,7.94523809524016e-08
506,1.89870870516999e-08
507,4.142344190280136e-08
508,1.0558602234800224e-05
509,1.3457683327163154e-08
510,5.448965414523777e-08
511,4.78683503157248e-08
512,3.862564936649722e-06
513,7.1774447876449e-08
514,1.4687140237715034e-06
515,4.61891344034058e-08
516,4.4988913811132e-08
517,1.573337284867945e-09
518,6.56090607735633e-07
519,9.881492896911551e-06
520,3.094845226042131e-08
521,1.0502421395144723e-05
522,1.45778947368509e-07
523,5.620260101860624e-06
524,4.78683503157248e-08
525,1.963001693274275e-08
526,7.94523809524016e-08
527,1.4755720617700423e-08
528,1.0905136280104588e-07
529,3.284302158612693e-05
530,7.050908785060229e-08
531,0.00024031699071289198
532,4.147439175259559e-08
533,4.8459987e-08
534,3.9676498815747534e-07
535,1.168871001633641e-05
536,5.03526614629629e-08
537,5.329049662950762e-07
538,4.09757199643182e-07
539,0.0
540,8.78666017162172e-07
541,1.88903039388339e-08
542,9.274868686859414e-09
543,7.512333715993251e-09
544,1.579544340788832e-09
545,5.732754166685013e-06
546,1.4558590289505921e-09
547,4.99474878e-08
548,7.238827167575586e-08
549,5.920028320801668e-08
550,9.431752380957194e-06
551,2.5566721415286464e-07
552,8.442814753446803e-06
553,1.4720470970246855e-09
554,2.2295464224203335e-05
555,1.8581761644692695e-08
556,1.963001693274275e-08
557,3.00553499492312e-07
558,0.0
559,1.83940705237755e-08
560,7.290151335571118e-08
561,4.432143180246489e-08
562,4.4988913811132e-08
563,4.64921474e-08
564,2.823305966688892e-07
565,1.47414148185981e-07
566,5.17758742e-08
567,5.253117215371203e-08
568,1.45838133561998e-07
569,2.8337044928786893e-07
570,6.13522548064331e-06
571,3.81850491595415e-07
572,5.01799098e-08
573,9.274868686859414e-09
574,5.39064092e-08
575,5.61716086685496e-07
576,4.58148720681623e-08
577,4.67013272e-08
578,4.7696742417554755e-08
579,4.89325784e-08
580,4.545372776472083e-07
581,9.37460317460561e-08
582,7.77120632181933e-08
583,4.74063406e-08
584,1.37180419926711e-05
585,5.982008039999947e-08
586,4.7696742417554755e-08
587,4.98777612e-08
588,1.87600866597051e-08
589,3.313993297294514e-05
590,9.881492896911551e-06
591,1.81512328951299e-08
592,4.7696742417554755e-08
593,7.116575892201894e-05
594,2.49430478566402e-05
595,4.52603108e-08
596,4.38743362831665e-08
597,7.98858963957115e-07
598,4.9234727e-08
599,5.331388921591042e-06
600,2.6198373034340987e-07
601,1.06140373812931e-07
602,1.7497531692063788e-08
603,6.022875382668154e-07
604,4.268844276102541e-08
605,0.0
606,0.0
607,2.9777199478467e-06
608,2.4743596256253423e-07
609,8.1978187657603e-08
610,2.5677395968646657e-06
611,4.29080601066697e-06
612,2.8259586519411977e-07
613,2.47661425070871e-06
614,7.11647401055778e-08
