Lat,Lon,wkt_geom,rate_5,rate_10,rate_25,rate_50,rate_100,rate_300,rate_500,rate_1000,rate_2000,ari10,ari50,ari100,ari200,ari500,ari1000,ari2500,ari500P,ari500M,ari500LL,ari500ZL
3.988,73.339,Point (73.3392333984375 3.98840975761413574),0.115403579,0.069617298,0.028151686,0.012076033,0.004521449,0.000668999,0.000230708,4.52E-05,7.06E-06,0.1,0.334479128,0.574934465,0.935629146,1.654147499,2.429032027,3.863606464,2.777224375,0.917747378,1.02520933,0.806421908
4.482,73.343,Point (73.3426361083984375 4.48236703872680664),0.127787598,0.079142711,0.033098768,0.014465612,0.005460182,0.000787726,0.000260584,4.60E-05,6.12E-06,0.1,0.385960316,0.657886192,1.056455895,1.833959038,2.657209002,4.124982273,3.113358711,1.012878821,1.12068696,0.903577291
3.292,73.347,Point (73.346771240234375 3.29232192039489746),0.129120666,0.080688561,0.034432281,0.015460268,0.006145512,0.001045201,0.000384103,7.86E-05,1.20E-05,0.1,0.404585058,0.701757075,1.151764824,2.068955295,3.066824441,4.901809612,3.556355481,1.113079469,1.31907564,1.108196881
4.64,73.349,Point (73.3487396240234375 4.64044666290283203),0.123572006,0.075515838,0.031139265,0.013557325,0.005150729,0.000777962,0.00026832,5.12E-05,7.45E-06,0.1,0.3657864,0.627655159,1.017881352,1.793188953,2.628986373,4.148904621,3.163486216,0.959824766,1.11171211,0.883802355
3.082,73.349,Point (73.34862518310546875 3.0815117359161377),0.128392785,0.079794947,0.033528791,0.014792302,0.005724633,0.000910218,0.000325128,6.60E-05,1.05E-05,0.1,0.391796734,0.672927035,1.092991779,1.935091831,2.853707117,4.523724056,3.316731175,1.077606189,1.208223545,0.969642227
2.867,73.354,Point (73.35430908203125 2.86679673194885254),0.13118334,0.082182349,0.034725785,0.015268567,0.005859063,0.000921714,0.000329153,6.74E-05,1.10E-05,0.1,0.403080649,0.687323294,1.109093498,1.952789552,2.87256038,4.550500123,3.296140648,1.078789645,1.21288195,0.957522106
4.71,73.368,Point (73.36814117431640625 4.70996189117431641),0.119262003,0.072335968,0.029430984,0.012625752,0.004715952,0.000698514,0.000241034,4.69E-05,7.19E-06,0.1,0.34704155,0.593628628,0.96146759,1.693690368,2.484553312,3.943688848,2.872690636,0.927656038,1.047847491,0.842313512
-53.161,73.379,Point (73.37929534912109375 -53.16058349609375),0.237677952,0.134897055,0.053898022,0.023731148,0.009296502,0.00152479,0.000555223,0.00011534,1.83E-05,0.137709649,0.570768961,0.950126878,1.502356219,2.581819038,3.740188164,5.818914774,5.49223495,1.094082347,1.545432842,1.158335827
3.785,73.382,Point (73.38224029541015625 3.78508543968200684),0.106486594,0.063236395,0.02503622,0.010459687,0.003742827,0.000496185,0.000161233,2.92E-05,4.26E-06,0.1,0.302176574,0.516197398,0.829971411,1.448152375,2.113874207,3.316063129,2.379997138,0.827735969,0.887798751,0.689775814
2.35,73.387,Point (73.38726043701171875 2.34978818893432617),0.144148113,0.094440711,0.044645222,0.022024546,0.009813928,0.002283655,0.001076202,0.000351257,9.76E-05,0.1,0.545240543,0.983959442,1.694058783,3.28701689,5.240608495,9.25350644,5.563442507,1.800812098,2.175446135,1.824177474
15.439,73.396,Point (73.3957977294921875 15.43858909606933594),0.140457555,0.083365847,0.034566442,0.0157644,0.006485228,0.001190387,0.000465134,0.000110262,2.16E-05,0.1,0.408692594,0.72079205,1.204413905,2.201566336,3.305518901,5.392131145,4.18943795,1.009073519,1.405664845,1.14118735
5.524,73.401,Point (73.4005584716796875 5.5237126350402832),0.110486059,0.064953145,0.024783285,0.009982834,0.00345318,0.000432613,0.000134053,2.17E-05,2.63E-06,0.1,0.297289256,0.498628236,0.792996841,1.371733784,1.990323799,3.104152546,2.291684923,0.778027376,0.841175477,0.677873999
0.24,73.404,Point (73.40387725830078125 0.2400875985622406),0.154249409,0.100088401,0.04548098,0.021429822,0.009002379,0.00178553,0.000744727,0.000196554,4.29E-05,0.100115522,0.530098728,0.92338471,1.528319017,2.795827929,4.224838686,6.979520942,4.818151664,1.560849217,1.77937891,1.458255333
2.079,73.405,Point (73.40462493896484375 2.07875633239746094),0.15079847,0.09909092,0.045705417,0.021605654,0.009025957,0.001819688,0.000787807,0.000223491,5.24E-05,0.1,0.533708104,0.925794925,1.529764613,2.8244295,4.333910816,7.328155935,4.755991626,1.530337125,1.805347861,1.472165757
0.907,73.406,Point (73.4056549072265625 0.90703874826431274),0.147736151,0.095364347,0.042659241,0.019690173,0.008018693,0.001519231,0.000625966,0.000161907,3.40E-05,0.1,0.492734753,0.848910838,1.392502064,2.531268245,3.838011282,6.354171801,4.315260373,1.344122247,1.613678352,1.329372107
-52.91,73.406,Point (73.40550994873046875 -52.91027069091796875),0.213092418,0.118906851,0.046297904,0.020202824,0.007902277,0.001277368,0.000458298,9.35E-05,1.48E-05,0.119820497,0.503451118,0.846365237,1.35290593,2.344786828,3.401254638,5.319531697,4.722951527,1.084607687,1.411384028,1.03724751
1.763,73.412,Point (73.41219329833984375 1.76250004768371582),0.144562771,0.094545583,0.044371125,0.021735351,0.009646343,0.00230184,0.001116814,0.000378429,0.000106094,0.1,0.538622771,0.970529209,1.678903238,3.317817112,5.382162648,9.652801578,5.656783048,1.782234434,2.232328112,1.89753017
4.146,73.423,Point (73.42345428466796875 4.14564323425292969),0.119536666,0.071710108,0.029592032,0.013130567,0.005135821,0.000823902,0.000293154,5.85E-05,9.06E-06,0.1,0.352932476,0.616663891,1.016560434,1.822598771,2.701900163,4.305885885,3.093598178,0.998207615,1.154450499,0.935543802
2.738,73.429,Point (73.429168701171875 2.73792219161987305),0.157733801,0.107534034,0.05271599,0.0260098,0.011322129,0.002440351,0.001078366,0.000307383,7.06E-05,0.111238188,0.627744117,1.099466098,1.835326482,3.407776229,5.222229931,8.719322833,5.694634273,1.935575775,2.225845767,1.846052558
-0.255,73.435,Point (73.43466949462890625 -0.2546502947807312),0.139727162,0.08997657,0.041321294,0.019932686,0.008658838,0.001824536,0.000781919,0.000213136,4.75E-05,0.1,0.497826472,0.891624447,1.510779541,2.828790457,4.325492164,7.223093136,4.769364279,1.573194945,1.829277898,1.463417118
-0.355,73.438,Point (73.4375 -0.35460525751113892),0.174076148,0.117739091,0.056139376,0.026716853,0.010992813,0.002047372,0.000832676,0.000214182,4.59E-05,0.1260856,0.633129036,1.068511011,1.717783725,3.038136786,4.515827113,7.334855512,5.180647338,1.692469808,1.875213144,1.483568265
5.742,73.442,Point (73.4423828125 5.74213504791259766),0.14442021,0.095166644,0.043632005,0.020256209,0.008189075,0.00146885,0.000574596,0.000136021,2.60E-05,0.1,0.50454417,0.864058396,1.402979291,2.499860962,3.721671015,5.997598446,4.08190593,1.46802291,1.564050376,1.248112455
5.312,73.446,Point (73.4459228515625 5.31201601028442383),0.132004231,0.083255215,0.036176324,0.016439931,0.006600318,0.001166559,0.000449334,0.000103492,1.93E-05,0.1,0.424529566,0.737133945,1.21306825,2.187129855,3.263798242,5.294207724,3.719257268,1.195683283,1.383379174,1.143628584
15.236,73.456,Point (73.45569610595703125 15.23593425750732422),0.139512068,0.083284406,0.034386097,0.015423256,0.006203939,0.001122793,0.000444046,0.000109551,2.30E-05,0.1,0.403357392,0.702843168,1.162999877,2.123279464,3.200539491,5.274529896,4.119567694,0.967342599,1.354781443,1.154500876
4.171,73.463,Point (73.4627532958984375 4.17083311080932617),0.12529088,0.077178978,0.032903466,0.014937721,0.006041337,0.001093822,0.000429722,0.000102557,1.98E-05,0.1,0.391211156,0.687128581,1.141788076,2.089707909,3.152367747,5.183327965,3.536262573,1.145802093,1.334554226,1.093220079
0.706,73.463,Point (73.4629974365234375 0.70585381984710693),0.161915521,0.110737126,0.054650354,0.027243504,0.011988442,0.002623701,0.001183752,0.000360378,9.30E-05,0.116250939,0.655702142,1.150720397,1.921651653,3.583885108,5.53607002,9.426378315,6.072600631,1.992244351,2.305794095,1.861300864
4.786,73.477,Point (73.47698211669921875 4.78623104095458984),0.107279831,0.064438814,0.026596122,0.011800868,0.004662775,0.000788635,0.000290375,6.02E-05,9.49E-06,0.1,0.322049559,0.568909147,0.951597429,1.743410438,2.625322921,4.264116171,2.777103597,1.007059437,1.129035286,0.923408026
5.921,73.484,Point (73.4835662841796875 5.92104339599609375),0.131130388,0.08356307,0.037047423,0.017035286,0.006873241,0.001231243,0.000487238,0.000121094,2.53E-05,0.1,0.436530148,0.758794872,1.247760096,2.248649869,3.372525621,5.534860167,3.730816268,1.298595859,1.405899688,1.09932521
-52.982,73.485,Point (73.484893798828125 -52.98192977905273438),0.265355381,0.158078704,0.067783189,0.031487771,0.013104056,0.002430305,0.000946231,0.000218768,4.01E-05,0.168223892,0.723720072,1.215685532,1.934166976,3.343534181,4.857393059,7.593316915,6.82689203,1.548090917,2.006877092,1.492593872
3.673,73.512,Point (73.51157379150390625 3.67254638671875),0.126321102,0.078871735,0.035046672,0.016764231,0.007298271,0.001588195,0.000710371,0.000212473,5.35E-05,0.1,0.426457858,0.775086284,1.336079002,2.567534759,4.039540144,7.018331348,4.345518753,1.39961037,1.682715949,1.377137266
3.853,73.514,Point (73.51375579833984375 3.85268664360046387),0.14005965,0.089945186,0.041536809,0.020344118,0.009051806,0.00205253,0.000935554,0.000286096,7.37E-05,0.1,0.507280069,0.921865406,1.587872365,3.049427437,4.792668567,8.284566402,5.225275348,1.675122502,2.007953054,1.685097555
