idx,l2n,TRUE,truemax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,dmax,lon,lat,max_absdz,event_type,Mag,SR
48,0.4277660719766585,26019,5.6616740226745605,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02274N3465_S001,E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02274N3465_S001,1.14,16,26.7,1.896632471529476e-08,0.004,0.004,5.662,22.74,34.65,0.004,1,8.71,HL
49,0.4128542970481739,17225,6.356842517852783,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02218N3525_S001,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02218N3525_S001,1.2,21,7.7,1.8862748123471345e-08,0.004,0.004,6.357,22.18,35.25,0.004,1,8.71,HL
50,0.2853065949739581,13817,5.636616230010986,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02275N3583_S003,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02275N3583_S003,0.75,14,80,1.8281667816081772e-08,0.004,0.002,5.637,22.75,35.83,0.004,1,8.61,HL
51,0.099695266,5021,2.586338520050049,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02159N3533_S000,E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02159N3533_S000,0.42,20,7.7,1.415920190559312e-07,0.001,0.001,2.586,21.59,35.33,0.001,1,8.09,HL
52,0.1397770006706139,8455,2.7648701667785645,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01804N3797_S000,E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01804N3797_S000,0.78,18,8.9,2.958891451576013e-08,0.001,0.001,2.765,18.04,37.97,0.001,1,8.24,CL
53,0.2113055698207307,10478,4.200120449066162,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02184N3552_S004,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02184N3552_S004,0.67,16,7.7,2.794013836801066e-08,0.002,0.002,4.2,21.84,35.52,0.002,1,8.61,HL
54,0.555819345,34167,6.004357338,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01793N3787_S002,E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01793N3787_S002,1.84,37,8.3,2.563378518919695e-09,0.053,0.045,6.004,17.93,37.87,0.053,1,8.61,CL
55,0.077043971,5903,1.6473491191864014,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01644N3837_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01644N3837_S000,0.56,13,8,6.469887829836834e-08,0.011,0.008,1.647,16.44,38.37,0.011,1,8.24,CL
56,0.4299606062667291,17371,6.939735889434815,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02226N3538_S001,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02226N3538_S001,1.56,11,8,2.8747121160712506e-08,0.002,0.002,6.94,22.26,35.38,0.002,1,8.61,HL
57,0.4034984872326888,25290,5.434116840362549,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02515N3431_S005,E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02515N3431_S005,1.19,14,80,5.679695014228743e-09,0.011,0.011,5.434,25.15,34.31,0.011,1,8.95,HL
