idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
26302,E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02335N3600_S005,1.57,0.0,0.0,0.0,0.0,2.218842323680393e-06,2.2832288413662758e-07
26314,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02409N3467_S004,1.4,0.0,0.0,0.0,7.285336624850394e-07,3.181738862595331e-06,4.6866517441129214e-07
26329,E01517N3917E01678N3772-PS-Mur_PNo_Hom-M732_E01551N3793_S000,0.18,4.541769095284795e-06,1.0548794715948922e-05,2.8247686984130182e-05,6.226416696040226e-05,0.00010677980650750499,3.7750973715957266e-05
26340,E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02067N3642_S001,1.21,0.0,0.0,0.0,2.2427261034679533e-07,2.145592483149028e-06,8.856613362439185e-07
26354,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02311N3485_S004,1.24,0.0,0.0,0.0,6.63817932460978e-07,2.883095789393185e-06,4.287428047940186e-07
26355,E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02209N3683_S002,0.81,0.0,0.0,0.0,6.202931671438023e-11,1.3331562301361162e-05,3.25503733115442e-06
26365,E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01551N3793_S000,0.19,4.3027286165855945e-06,9.993594994056871e-06,2.6760966616544383e-05,5.8987105541433716e-05,0.00010115981669131,3.576408036248617e-05
26378,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02146N3723_S000,0.44,0.0,5.939402342349177e-14,1.6867477443418922e-06,1.5638405916110964e-05,8.574307286321588e-05,1.2557869857059003e-05
26424,E01517N3917E01678N3772-PS-Str_PYes_Var-M809_E01643N3856_S000,0.21,0.0,0.0,7.901658380192376e-07,3.794637616461924e-06,1.1144575118445476e-05,2.3653276857878427e-06
26438,E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02335N3600_S002,0.66,0.0,0.0,0.0,6.388094559422049e-06,1.3524112248482884e-05,4.87323043244386e-06
26440,E01517N3917E01678N3772-PS-Str_PNo_Hom-M792_E01619N3854_S000,0.24,1.087937973779348e-11,9.150942665311344e-07,4.056977050760261e-06,1.1069805388642586e-05,3.1881318981307454e-05,7.238113362029372e-06
26442,E02020N3739E02658N3366-PS-Str_PNo_Var-M861_E02191N3680_S005,0.52,0.0,0.0,0.0,2.219732372584496e-06,2.0545618023588e-05,5.181218494459172e-06
26456,E01517N3917E01678N3772-PS-Str_PYes_Hom-M732_E01564N3784_S000,0.19,0.0,3.2864617295224755e-06,2.686547515099704e-05,6.348369506903219e-05,0.00011284024950827499,3.576408036248523e-05
26458,E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02194N3581_S003,2.66,0.0,0.0,0.0,1.8773631937330817e-08,1.2609045439661325e-06,1.7435746426374422e-07
26463,E01964N3926E02184N3685-PS-Mur_PYes_Var-M824_E02093N3745_S000,0.22,0.0,0.0,7.388505666606015e-06,6.964172654953507e-05,0.00021994847960773493,4.9544254714649064e-05
26474,E01964N3926E02184N3685-PS-Str_PYes_Var-M837_E02053N3710_S000,0.37,0.0,0.0,0.0,2.5484850235694257e-05,7.085840215744078e-05,1.38949238449035e-05
26488,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02333N3573_S003,0.72,0.0,0.0,0.0,5.878064573553174e-06,1.24962302175981e-05,4.506669544061829e-06
26489,E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02321N3496_S003,1.28,0.0,0.0,0.0,7.095164314338745e-07,3.0852827519665816e-06,4.595412211570002e-07
