id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01824N3355_D010_S067D30R090_A004781_S062	28321	5.83	10.148	0.902	0.918	-0.003	-0.003	8.123
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01719N3535_D010_S067D70R270_A006995_S075	106257	9.378	11.709	1.145	1.062	0.006	0.006	12.376
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01743N3512_D010_S067D30R090_A006995_S075	76769	8.074	11.194	0.947	1.003	-0.011	-0.01	10.098
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01867N3445_D010_S067D70R090_A006995_S075	75793	9.75	11.198	0.963	1.047	-0.003	-0.003	11.696
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01825N3512_D010_S067D50R090_A006995_S075	52854	6.239	10.812	0.938	0.947	-0.007	-0.006	7.291
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01932N3355_D010_S067D30R090_A006995_S075	67240	8.404	11.097	0.981	1.028	-0.004	-0.004	10.506
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01644N3580_D010_S067D30R090_A006995_S075	85650	9.377	11.328	0.97	1.026	-0.024	-0.021	11.675
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01778N3400_D010_S067D50R090_A006995_S075	70506	9.011	11.145	0.982	1.049	-0.007	-0.007	11.43
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M774_E01603N3670_D010_S067D90R270_A005608_S028	27374	4.038	10.171	0.955	0.896	-0.028	-0.014	5.85
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01579N3692_D010_S112D90R090_A012497_S042	170795	6.121	12.006	0.958	0.859	0.605	1.398	6.213
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01936N3378_D010_S067D30R090_A006995_S075	57417	8.329	10.894	0.938	1.01	-0.004	-0.004	11.067
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01794N3490_D010_S067D30R090_A006995_S075	63206	7.041	10.951	0.902	0.979	-0.008	-0.008	9.418
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01832N3400_D010_S247D70R270_A004781_S062	47905	12.323	10.71	0.935	1.149	0.002	0.002	13.879
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01848N3490_D010_S067D30R090_A006995_S075	46800	6.523	10.661	0.911	0.947	-0.006	-0.005	7.585
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M774_E01909N3378_D010_S247D30R090_A003139_S050	16548	3.792	9.617	0.907	0.78	-0.001	-0.001	4.972
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01609N3535_D010_S067D30R090_A006995_S075	53775	8.575	10.82	0.93	1.022	-0.021	-0.019	11.313
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01636N3535_D010_S067D30R090_A006995_S075	63039	8.502	10.983	0.933	1.017	-0.02	-0.017	11.296
BS_4-8_manning003_extreme/E01446N4259E02038N3783-BS-M809_E01846N3895_D010_S292D70R090_A006995_S075	143081	14.062	12.08	1.233	1.222	-0.001	0.0	15.467
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01711N3490_D010_S067D70R090_A006995_S075	85946	11.036	11.373	1.012	1.087	-0.006	-0.006	12.431
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01896N3310_D010_S067D50R090_A006995_S075	75279	8.172	11.242	1.013	1.057	-0.004	-0.004	9.405
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01844N3467_D010_S247D30R090_A006995_S075	56421	5.813	10.888	0.949	0.963	-0.006	-0.006	6.239
