id	count	max	logsum	mean	sd
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M871_E02308N3607_S001	9372	2.1	9.42	1.31	0.28
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01720N3803_S004	28695	6.91	11.19	2.53	0.99
E01577N3897E01966N3571-PS-Str_PYes_Hom-M861_E01774N3710_S001	29166	6.76	11.27	2.7	1.22
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01697N3782_S004	39403	9.02	11.78	3.33	1.52
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02305N3524_S001	10175	6.92	9.71	1.62	0.84
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02237N3564_S004	29791	10.97	11.64	3.82	2.14
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02313N3510_S001	41082	8.8	11.85	3.42	1.44
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02526N3441_S005	28792	9.54	11.39	3.08	1.52
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01701N3725_S003	40288	9.2	11.82	3.39	1.51
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02260N3540_S002	17976	8.69	10.8	2.73	1.34
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01783N3758_S004	35198	8.01	11.54	2.91	1.3
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02168N3560_S004	36862	9.57	11.84	3.76	2.08
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01734N3775_S005	31623	7.13	11.28	2.5	0.84
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02253N3527_S004	48119	12.75	12.22	4.23	2.31
E01849N3766E02950N3220-PS-Mur_PYes_Var-M861_E02054N3653_S004	8865	6.09	9.36	1.31	0.58
E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02152N3603_S002	31761	13.7	11.71	3.85	2.24
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02122N3652_S005	13927	6.84	10.35	2.24	1.12
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02253N3503_S004	44910	10.68	12.05	3.8	1.94
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01723N3765_S005	33100	9.1	11.45	2.83	1.33
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M895_E02270N3502_S004	35564	8.8	11.57	2.97	1.4
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02335N3468_S005	49978	14.66	12.36	4.67	2.8
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02434N3452_S005	45432	12.97	12.21	4.43	2.66
E01548N3896E01854N3659-PS-Str_PYes_Var-M850_E01727N3708_S000	30037	8.59	11.32	2.74	1.29
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02219N3560_S003	20298	8.06	10.93	2.75	1.3
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01710N3774_S003	35496	7.2	11.55	2.93	1.25
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02393N3468_S001	50810	13.95	12.39	4.73	2.78
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02201N3596_S001	13758	5.33	10.2	1.95	0.79
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02206N3569_S002	48420	12.08	12.23	4.24	2.24
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02311N3485_S005	47864	10.93	12.22	4.23	2.38
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02321N3496_S001	48654	13.46	12.33	4.64	2.81
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02217N3548_S003	43310	10.94	11.94	3.56	1.59
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02284N3476_S002	40734	10.96	11.87	3.5	1.89
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02287N3501_S002	23075	5.93	10.86	2.26	0.73
E01849N3766E02950N3220-PS-Str_PYes_Hom-M871_E02072N3658_S003	11976	3.0	9.86	1.6	0.29
E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02435N3522_S003	11621	3.01	9.81	1.57	0.46
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02328N3482_S002	45816	11.77	12.21	4.39	2.62
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01732N3794_S005	30149	6.95	11.37	2.89	1.4
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02393N3468_S001	51448	12.77	12.37	4.59	2.47
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02253N3503_S001	39530	8.64	11.74	3.18	1.38
E01548N3896E01854N3659-PS-Str_PYes_Hom-M809_E01760N3738_S000	6328	3.1	8.99	1.26	0.81
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02152N3645_S005	14807	5.54	10.33	2.07	0.84
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02229N3514_S005	47930	12.56	12.23	4.26	2.35
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01721N3784_S004	35481	7.86	11.58	3.01	1.37
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02183N3593_S001	47784	11.0	12.2	4.17	2.18
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02301N3474_S003	48011	11.73	12.23	4.28	2.45
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01684N3791_S001	31170	7.07	11.28	2.55	0.95
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02188N3566_S004	22940	8.72	11.16	3.05	1.51
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02217N3548_S004	47658	12.39	12.23	4.29	2.39
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01670N3819_S004	29435	6.99	11.18	2.43	0.88
E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02458N3438_S004	19605	3.31	10.49	1.84	0.36
E01964N3926E02184N3685-PS-Mur_PYes_Hom-M754_E02050N3785_S000	540	0.38	4.63	0.19	0.06
