eve_id,id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01598N4052E01840N3892-BS-M792_E01740N3940_D010_S067D50R270_A008541_S034,BS_manning003/E01598N4052E01840N3892-BS-M792_E01740N3940_D010_S067D50R270_A008541_S034,0.46,15,8.0,6.125517635116483e-09,-0.004,-0.005,4264,2.296,17.4025,39.4009,39401740,30.0,0.005,1.0,2.8177381121535824e-09,1.8674136321195144e-05,30.0,"39.257,17.142"
E01522N3585E03578N2685-BS-M754_E01743N3512_D010_S247D50R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E01743N3512_D010_S247D50R090_A001972_S039,0.54,14,8.6,1.5381541686947347e-09,-0.001,-0.002,6047,4.078,17.4324,35.1291,35121743,47.0,0.002,1.0,8.306032510951568e-10,1.8674136321195144e-05,148.0,"35.057,17.142"
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S337D30R270_A003524_S022,BS_manning003/E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S337D30R270_A003524_S022,0.59,13,8.6,2.244711788693022e-08,-0.018,-0.039,4886,2.155,15.3446,37.6022,37601534,569.0,0.039,1.0,1.324379955328883e-08,1.8674136321195144e-05,575.0,"37.457,15.342"
E01522N3585E03578N2685-BS-M792_E01886N3400_D010_S067D50R090_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E01886N3400_D010_S067D50R090_A004781_S062,1.74,13,8.0,5.379601486234626e-10,-0.002,-0.002,18251,7.503,18.8659,34.005,34001886,36.0,0.002,1.0,9.36050658604825e-10,1.8674136321195144e-05,36.0,"33.857,18.642"
E01470N3877E01631N3641-BS-M754_E01559N3737_D010_S292D50R270_A003524_S022,BS_manning003/E01470N3877E01631N3641-BS-M754_E01559N3737_D010_S292D50R270_A003524_S022,1.53,12,8.3,2.3519434367622424e-08,-0.03,-0.066,14404,7.708,15.5904,37.3774,37371559,705.0,0.066,1.0,3.598473458246231e-08,1.8674136321195144e-05,705.0,"37.157,15.342"
E01446N4259E02038N3783-BS-M754_E02004N3827_D010_S337D70R090_A001972_S039,BS_manning003/E01446N4259E02038N3783-BS-M754_E02004N3827_D010_S337D70R090_A001972_S039,0.92,12,8.6,7.968035402998843e-09,-0.001,-0.001,9842,5.052,20.0408,38.2767,38272004,338.0,0.001,1.0,7.330592570758936e-09,1.8674136321195144e-05,338.0,"38.057,19.842"
E01267N3753E01646N3535-BS-M707_E01551N3692_D010_S202D10R090_A000668_S023,BS_manning003/E01267N3753E01646N3535-BS-M707_E01551N3692_D010_S202D10R090_A000668_S023,0.46,13,8.0,1.0980513150868317e-08,0.013,-0.007,3876,4.448,15.5157,36.9278,36921551,1188.0,0.013,1.0,5.051036049399426e-09,1.8674136321195144e-05,1960.0,"36.857,15.342"
E01522N3585E03578N2685-BS-M732_E01857N3535_D010_S202D50R270_A001180_S030,BS_manning003/E01522N3585E03578N2685-BS-M732_E01857N3535_D010_S202D50R270_A001180_S030,0.49,13,8.0,3.808788450064453e-09,0.001,0.001,4664,5.052,18.5751,35.3539,35351857,70.0,0.001,1.0,1.866306340531582e-09,1.8674136321195144e-05,129.0,"35.057,18.342"
E01267N3753E01646N3535-BS-M792_E01530N3737_D125_S247D50R090_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01530N3737_D125_S247D50R090_A004781_S062,1.58,18,10.4,8.012414433351518e-09,0.311,0.181,26080,3.972,15.3075,37.3774,37371530,1315.0,0.311,0.0,1.2659614804695398e-08,1.8674136321195144e-05,1315.0,"37.157,15.042"
E01267N3753E01646N3535-BS-M732_E01551N3692_D076_S292D30R270_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01551N3692_D076_S292D30R270_A001180_S030,0.32,13,8.0,1.141029715514912e-08,0.809,0.059,8567,5.414,15.5157,36.9278,36921551,1188.0,0.809,0.0,3.6512950896477185e-09,1.8674136321195144e-05,1960.0,"36.857,15.342"
E01108N3882E01527N3690-BS-M732_E01506N3760_D010_S112D90R270_A002108_S017,BS_manning003/E01108N3882E01527N3690-BS-M732_E01506N3760_D010_S112D90R270_A002108_S017,0.18,13,8.3,1.9901378983795954e-09,0.028,0.014,1319,1.01,15.0608,37.6022,37601506,255.0,0.028,1.0,3.5822482170832716e-10,1.8674136321195144e-05,255.0,"37.457,15.042"
E01267N3753E01646N3535-BS-M754_E01523N3692_D010_S112D30R270_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01523N3692_D010_S112D30R270_A001972_S039,0.83,16,8.0,1.8721078518315032e-08,1.785,-0.208,12170,7.571,15.2345,36.9278,36921523,927.0,1.785,0.0,1.5538495170201476e-08,1.8674136321195144e-05,2045.0,"36.857,15.042"
E01598N4052E01840N3892-BS-M754_E01798N3940_D010_S112D30R270_A003524_S022,BS_manning003/E01598N4052E01840N3892-BS-M754_E01798N3940_D010_S112D30R270_A003524_S022,0.45,13,8.0,9.442447316718336e-09,0.001,0.001,3331,2.447,17.9844,39.4009,39401798,97.0,0.001,1.0,4.2491012925232515e-09,1.8674136321195144e-05,97.0,"39.257,17.742"
E01267N3753E01646N3535-BS-M809_E01505N3580_D010_S112D50R090_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01505N3580_D010_S112D50R090_A006995_S075,0.89,18,34.3,4.914212501972949e-09,-0.014,-0.019,5978,4.524,15.059,35.8036,35801505,15.0,0.019,1.0,4.373649126755925e-09,1.8674136321195144e-05,41.0,"35.657,15.042"
E01470N3877E01631N3641-BS-M732_E01583N3715_D115_S022D50R090_A002108_S017,BS_manning003/E01470N3877E01631N3641-BS-M732_E01583N3715_D115_S022D50R090_A002108_S017,0.51,15,8.6,2.7746746601952562e-08,0.048,0.031,6110,2.714,15.8349,37.1526,37151583,575.0,0.048,1.0,1.4150840766995807e-08,1.8674136321195144e-05,1050.0,"36.857,15.642"
E01849N3766E02950N3220-BS-M774_E01960N3760_D010_S337D30R090_A005608_S028,BS_manning003/E01849N3766E02950N3220-BS-M774_E01960N3760_D010_S337D30R090_A005608_S028,0.97,12,8.6,2.1413416118031072e-09,-0.002,-0.002,12017,4.764,19.6013,37.6022,37601960,5.0,0.002,1.0,2.077101363449014e-09,1.8674136321195144e-05,7.0,"37.457,19.542"
E01522N3585E03578N2685-BS-M732_E02380N3310_D010_S022D50R270_A001180_S030,BS_manning003/E01522N3585E03578N2685-BS-M732_E02380N3310_D010_S022D50R270_A001180_S030,0.26,13,7.7,6.452515800979561e-09,0.001,0.001,2579,2.293,23.8012,33.1056,33102380,49.0,0.001,1.0,1.677654108254686e-09,1.8674136321195144e-05,49.0,"32.957,23.742"
E01446N4259E02038N3783-BS-M792_E01928N3872_D010_S112D30R090_A004781_S062,BS_manning003/E01446N4259E02038N3783-BS-M792_E01928N3872_D010_S112D30R090_A004781_S062,1.06,16,9.2,1.5641716495851283e-09,0.001,-0.001,8313,3.346,19.2829,38.7264,38721928,81.0,0.001,1.0,1.6580219485602361e-09,1.8674136321195144e-05,132.0,"38.657,19.242"
