id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02313N3510_S001	35	17	18	18	17	16	18	19	16	0	0	18	0	15	15	17	16	16	14	10	24	19	12	0	0	13	19	18	11	15	18	10	17	17	12	19	17	22	21	21	20	18	17	15	14	16	13	11	19	16	21	17	10	11	13	19	22	26	15	10	22	25	17	15	19	18	20	22	10	10	11	14	20	19	16	14	14	11	10	10	10	11	21	17	15	14	12
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02022N3645_S000	40	41	40	40	42	21	43	44	45	0	0	48	0	47	47	57	46	40	19	43	18	18	29	0	0	29	28	28	22	25	19	31	30	27	31	22	29	43	29	20	20	19	18	19	23	21	22	22	23	21	25	23	20	21	21	19	40	31	32	30	31	30	33	35	38	19	22	23	20	18	20	22	19	45	23	41	36	20	20	20	20	20	21	20	19	21	19
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02122N3652_S000	32	68	67	22	20	21	32	31	32	0	0	20	0	12	17	16	16	10	12	23	12	12	29	0	0	30	29	28	10	26	29	13	19	17	10	22	29	11	28	11	20	20	20	19	18	24	12	11	24	25	24	28	23	11	19	10	29	32	32	34	32	33	33	30	30	18	22	27	23	18	25	11	17	11	13	13	12	24	24	30	30	25	29	18	22	23	26
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02229N3514_S005	47	16	16	16	17	18	21	20	10	0	0	19	0	20	30	10	11	14	11	10	12	13	12	0	0	20	14	14	14	14	15	14	10	14	12	19	15	10	10	10	10	18	17	13	15	13	13	13	14	14	14	14	14	13	13	12	10	15	15	15	14	14	16	15	15	15	15	14	15	14	13	14	11	24	17	16	15	13	13	13	12	13	13	11	15	14	14
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02242N3492_S001	35	19	17	15	16	18	19	19	17	0	0	19	0	15	15	16	11	11	14	10	10	15	16	0	23	21	18	18	11	15	18	10	17	16	12	18	21	22	21	21	20	18	16	15	14	16	13	12	16	16	20	17	10	12	13	19	13	10	14	10	23	26	28	28	39	17	18	19	10	17	11	15	20	17	16	15	15	11	10	10	12	11	23	17	15	14	12
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01813N3845_S000	110	39	20	22	18	20	22	23	39	0	0	21	0	48	47	18	17	16	16	16	16	16	18	0	0	20	18	18	20	17	19	12	14	10	23	20	20	24	13	13	22	12	16	15	16	17	13	14	17	19	17	17	14	13	14	18	11	30	29	21	23	24	25	28	27	18	20	20	21	19	17	22	21	24	21	20	51	22	22	53	22	23	22	21	22	20	19
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02425N3440_S004	48	50	44	54	38	19	22	10	11	0	0	11	0	13	30	20	29	14	11	13	15	12	12	0	0	12	10	10	11	16	10	59	11	17	13	20	12	12	12	11	11	26	30	60	12	14	11	58	13	19	59	59	58	11	58	48	12	11	58	10	13	17	24	11	12	20	21	18	11	60	13	12	12	12	16	17	18	13	12	12	12	59	16	16	16	16	15
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02230N3611_S000	0	0	67	44	70	45	47	48	48	0	0	43	0	65	65	68	65	65	66	65	32	28	29	0	0	28	27	26	26	26	33	32	80	31	28	22	79	45	28	69	72	36	37	20	17	22	20	26	24	24	22	26	29	20	21	17	39	35	37	38	28	28	30	35	41	38	20	23	21	52	54	55	85	121	54	56	55	55	54	54	54	55	53	90	96	97	96
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01661N3771_S000	109	38	39	39	41	23	26	27	40	0	0	41	0	48	178	179	0	0	0	15	16	62	60	0	0	23	22	21	23	23	28	29	30	32	30	20	39	42	44	42	40	36	37	18	20	19	20	21	21	22	24	26	22	22	22	21	40	38	38	40	33	34	35	38	40	41	56	27	23	43	58	57	57	50	52	116	60	47	152	150	280	279	280	64	94	96	25
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02287N3633_S000	0	47	115	93	94	47	45	46	93	0	0	10	0	14	15	15	16	11	11	14	10	14	22	0	0	20	22	22	26	25	22	23	20	23	21	22	11	12	21	21	21	12	13	13	21	10	10	14	21	21	21	22	22	27	13	22	13	32	23	41	29	31	40	40	42	12	13	20	14	12	19	13	13	17	14	14	13	14	14	14	20	26	20	20	13	13	13
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02350N3576_S001	106	85	40	38	39	40	39	39	99	0	0	99	0	24	23	21	17	25	10	12	10	11	10	0	0	10	10	10	13	15	21	10	19	10	10	14	35	11	10	11	11	23	10	11	12	14	12	14	15	16	11	11	11	10	14	10	21	22	22	35	36	38	39	38	40	27	75	14	11	11	12	10	11	25	31	31	32	10	35	21	22	11	35	19	11	11	13
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02066N3753_S000	0	0	69	68	41	43	46	46	50	0	0	18	0	19	16	17	17	17	17	15	15	116	65	0	0	137	22	22	23	24	46	13	138	133	132	20	137	84	66	68	19	17	18	18	17	18	16	44	20	20	92	43	51	16	16	18	39	36	40	38	43	43	42	42	41	17	20	23	21	19	121	122	220	124	122	121	154	153	145	142	216	43	229	142	148	151	148
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02274N3465_S001	36	16	18	16	18	19	21	21	17	0	0	19	0	15	15	10	11	14	11	10	11	10	12	0	136	21	19	22	14	25	18	11	11	10	15	17	17	11	11	10	10	19	17	16	15	16	15	14	17	18	10	11	14	14	16	23	22	10	10	20	23	26	28	10	10	16	19	20	11	11	14	10	10	17	16	15	15	13	12	12	12	14	14	11	10	11	14
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02218N3525_S001	16	16	17	16	17	22	21	22	10	0	0	14	0	16	22	14	15	10	10	10	10	10	19	0	0	13	14	10	11	15	16	11	12	17	12	11	16	12	11	11	11	11	14	12	22	12	22	21	23	12	17	11	12	21	21	20	12	14	18	11	12	22	23	23	13	23	22	12	22	21	20	13	21	24	19	24	22	20	20	20	20	21	20	22	13	13	20
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02275N3583_S003	84	14	15	13	14	17	19	11	80	0	0	18	0	11	16	16	10	10	10	10	24	20	10	0	0	12	18	18	10	24	18	10	28	15	11	19	17	24	38	40	30	19	17	15	14	19	13	24	21	21	23	10	23	21	14	19	22	10	12	10	22	19	18	11	11	18	20	20	10	20	11	13	12	11	16	15	15	10	10	10	11	11	11	41	24	21	11
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02159N3533_S000	33	34	37	37	35	22	24	36	38	0	0	47	0	16	16	16	16	19	16	15	16	16	15	0	0	26	25	16	26	15	16	17	15	16	28	11	25	15	16	16	16	17	22	20	16	19	20	15	22	23	15	16	16	17	20	17	16	23	15	11	10	10	34	10	36	21	21	24	10	15	11	15	16	14	21	17	30	10	10	10	10	10	27	16	21	20	17
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01804N3797_S000	23	22	21	20	21	21	22	21	42	0	0	20	0	18	18	20	18	18	19	18	19	19	18	0	0	18	19	18	19	17	17	18	16	17	16	19	21	16	18	18	17	17	17	17	19	17	18	19	18	19	18	20	21	18	18	20	20	19	18	19	19	20	45	31	31	17	18	19	19	17	17	16	41	41	42	45	46	18	18	18	18	17	41	16	16	16	16
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02184N3552_S004	40	19	19	19	18	19	20	20	17	0	0	19	0	17	17	17	17	17	17	11	17	17	20	0	0	19	19	10	20	23	18	17	18	18	11	19	20	11	11	17	17	17	17	17	17	17	12	17	17	18	17	17	17	21	16	20	18	18	18	19	12	11	19	19	20	20	19	21	19	18	15	18	20	13	20	19	18	20	20	20	19	15	19	21	19	17	16
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01793N3787_S002	56	57	54	52	50	49	17	20	10	0	0	10	0	12	12	11	11	10	10	29	29	27	27	0	10	26	26	24	22	22	22	16	16	10	20	20	22	10	11	26	33	32	32	31	30	32	28	28	33	35	35	34	34	36	37	11	44	38	14	10	36	10	39	10	10	48	11	57	11	16	62	10	11	10	11	12	48	12	11	10	11	11	40	30	16	10	12
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01644N3837_S000	17	57	52	48	11	28	25	25	43	0	0	17	0	20	24	23	24	24	24	23	24	22	20	0	0	20	20	19	17	17	18	14	13	15	11	17	17	46	10	11	10	10	10	12	13	11	12	11	10	34	35	36	10	11	13	10	10	44	42	41	40	40	41	43	10	50	56	58	54	76	81	84	10	10	81	80	85	81	50	50	50	51	83	30	39	39	30
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02226N3538_S001	37	20	20	18	18	15	16	23	13	0	0	11	0	13	12	11	10	10	12	15	13	15	16	0	0	11	15	16	17	11	16	14	10	15	10	10	10	11	11	11	11	10	11	11	12	17	11	10	10	10	11	10	16	17	11	17	14	15	14	17	10	10	10	10	11	10	11	16	10	17	16	10	16	10	15	14	11	15	15	15	15	15	15	16	10	17	17
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02515N3431_S005	35	34	13	11	11	11	33	10	23	0	0	10	0	13	16	17	17	10	11	14	14	12	20	0	34	11	20	27	11	25	17	10	12	16	14	12	11	13	12	11	11	10	13	12	14	14	14	14	16	11	14	15	23	11	14	17	23	34	15	33	10	25	40	10	11	12	12	14	12	12	16	13	12	11	13	13	12	11	11	12	12	10	12	12	13	12	11
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01770N3767_S000	41	38	19	18	18	13	12	13	12	0	0	10	0	10	15	11	11	11	12	10	12	14	16	0	0	21	20	21	16	19	22	16	19	16	20	22	24	20	20	20	20	20	21	20	22	22	21	21	23	24	24	23	23	20	21	19	35	35	34	34	34	34	34	36	35	40	55	24	23	20	34	33	33	34	34	55	34	35	35	35	34	34	34	34	34	23	23
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02218N3525_S004	36	16	16	14	17	26	26	25	11	0	0	10	0	10	11	10	10	14	15	15	17	10	10	0	10	11	11	15	27	12	10	15	14	24	14	26	11	11	15	15	15	14	11	16	12	15	15	15	14	15	15	15	16	16	15	25	15	14	16	26	13	12	12	12	14	14	13	13	25	25	25	15	15	15	24	23	23	25	24	25	24	25	24	25	16	15	15
