eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01517N3917E01678N3772-PS-Str_PNo_Var-M792_E01619N3854_S000,PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Var-M792_E01619N3854_S000,0.15,1.1346099538299994e-05,0.005,0.004,0.916,16.19,38.54,38541619,12.0,0.005,1.0,1.701914930744999e-06,1.8674136321195144e-05,66.0,"38.357,16.122"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02245N3574_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02245N3574_S000,0.31,2.0782564866166213e-07,0.001,0.001,1.423,22.45,35.74,35742245,69.0,0.001,1.0,6.442595108511526e-08,1.8674136321195144e-05,272.0,"35.717,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02309N3460_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02309N3460_S005,0.84,2.9385585834466614e-08,0.002,0.002,2.754,23.09,34.6,34602309,75.0,0.002,1.0,2.4683892100951954e-08,1.8674136321195144e-05,491.0,"34.397,23.052"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02171N3606_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02171N3606_S005,0.94,2.9742051206425025e-08,0.002,0.002,4.004,21.71,36.06,36062171,104.0,0.002,1.0,2.7957528134039523e-08,1.8674136321195144e-05,372.0,"36.047,21.402"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02377N3471_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02377N3471_S003,0.58,3.1343919990356325e-08,0.004,0.004,1.994,23.77,34.71,34712377,94.0,0.004,1.0,1.8179473594406667e-08,1.8674136321195144e-05,596.0,"34.397,23.712"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02301N3474_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02301N3474_S004,1.86,6.968529399705044e-09,0.005,0.005,6.053,23.01,34.74,34742301,105.0,0.005,1.0,1.2961464683451382e-08,1.8674136321195144e-05,574.0,"34.727,22.722"
E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01668N3695_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01668N3695_S000,1.27,1.584458790895914e-08,0.022,0.013,4.029,16.68,36.95,36951668,13.0,0.022,1.0,2.012262664437811e-08,1.8674136321195144e-05,63.0,"36.707,16.452"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02229N3514_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02229N3514_S001,1.18,2.7936460407354824e-08,0.002,0.002,3.885,22.29,35.14,35142229,121.0,0.002,1.0,3.296502328067869e-08,1.8674136321195144e-05,720.0,"35.057,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02201N3524_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02201N3524_S004,0.93,2.5748694285516416e-08,0.002,0.002,3.677,22.01,35.24,35242201,114.0,0.002,1.0,2.3946285685530267e-08,1.8674136321195144e-05,519.0,"35.057,21.732"
E02113N3823E02873N3483-PS-Str_PYes_Hom-M809_E02260N3683_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M809_E02260N3683_S000,0.17,2.3099174236367e-06,0.001,0.001,0.651,22.6,36.83,36832260,4.0,0.001,1.0,3.926859620182391e-07,1.8674136321195144e-05,39.0,"36.707,22.392"
