eve_id,id,max_off,mean_prob,dzmax,dzmin,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02128N3626_S003,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02128N3626_S003,0.76,2.9575465526213294e-08,0.002,0.002,3.359,21.28,36.26,36262128,90.0,0.002,1.0,2.2477353799922103e-08,1.8674136321195144e-05,417.0,"36.047,21.072"
E02113N3823E02873N3483-PS-Str_PYes_Var-M837_E02340N3543_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M837_E02340N3543_S000,0.24,3.955633460769136e-06,0.001,0.001,1.006,23.4,35.43,35432340,44.0,0.001,1.0,9.493520305845926e-07,1.8674136321195144e-05,303.0,"35.387,23.382"
E01548N3896E01854N3659-PS-Mur_PYes_Var-M774_E01703N3706_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M774_E01703N3706_S000,0.4,7.358478796183173e-08,0.004,0.002,1.902,17.03,37.06,37061703,42.0,0.004,1.0,2.9433915184732695e-08,1.8674136321195144e-05,189.0,"37.037,16.782"
E01577N3897E01966N3571-PS-Str_PYes_Var-M850_E01774N3710_S000,PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Var-M850_E01774N3710_S000,0.96,1.1121853216586657e-07,0.047,0.031,7.157,17.74,37.1,37101773,38.0,0.047,1.0,1.067697908792319e-07,1.8674136321195144e-05,178.0,"37.037,17.442"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02217N3548_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02217N3548_S004,1.05,6.962849478662463e-09,0.005,0.005,4.702,22.17,35.48,35472217,131.0,0.005,1.0,7.310991952595587e-09,1.8674136321195144e-05,406.0,"35.387,22.062"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02253N3527_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02253N3527_S000,0.31,1.850990257617495e-07,0.002,0.001,1.575,22.53,35.27,35272253,135.0,0.002,1.0,5.738069798614235e-08,1.8674136321195144e-05,367.0,"35.057,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02458N3438_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02458N3438_S002,0.79,1.3454667366044502e-08,0.008,0.007,2.97,24.58,34.38,34382458,84.0,0.008,1.0,1.0629187219175157e-08,1.8674136321195144e-05,288.0,"34.067,24.372"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02204N3672_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02204N3672_S000,0.4,4.798223396083394e-06,0.001,0.001,1.612,22.04,36.72,36722204,57.0,0.001,1.0,1.9192893584333574e-06,1.8674136321195144e-05,194.0,"36.707,21.732"
E01849N3766E02950N3220-PS-Str_PYes_Hom-M861_E02364N3415_S002,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M861_E02364N3415_S002,0.43,2.9352667390322286e-08,0.002,0.002,2.079,23.64,34.15,34152364,11.0,0.002,1.0,1.2621646977838583e-08,1.8674136321195144e-05,121.0,"34.067,23.382"
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02409N3467_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02409N3467_S004,0.61,2.040793503498499e-08,0.004,0.004,3.736,24.09,34.67,34672409,103.0,0.004,1.0,1.2448840371340844e-08,1.8674136321195144e-05,536.0,"34.397,24.042"
E01964N3926E02184N3685-PS-Str_PNo_Hom-M774_E02103N3738_S000,PS_manning003/E01964N3926E02184N3685-PS-Str_PNo_Hom-M774_E02103N3738_S000,0.14,1.4858533777375718e-05,0.001,0.001,0.848,21.03,37.38,37382103,36.0,0.001,1.0,2.0801947288326007e-06,1.8674136321195144e-05,197.0,"37.367,20.742"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02326N3457_S003,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02326N3457_S003,0.62,1.9629044633503903e-08,0.004,0.004,3.227,23.26,34.57,34572326,81.0,0.004,1.0,1.217000767277242e-08,1.8674136321195144e-05,491.0,"34.397,23.052"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02260N3491_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02260N3491_S005,1.08,6.830955141268308e-09,0.007,0.007,4.221,22.6,34.91,34902260,117.0,0.007,1.0,7.377431552569773e-09,1.8674136321195144e-05,523.0,"34.727,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02147N3521_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02147N3521_S000,0.23,4.1200633397410333e-07,0.001,0.001,1.496,21.47,35.21,35212147,50.0,0.001,1.0,9.476145681404376e-08,1.8674136321195144e-05,260.0,"35.057,21.402"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02272N3440_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02272N3440_S000,0.42,1.424721293201083e-07,0.001,0.001,1.583,22.72,34.4,34402272,27.0,0.001,1.0,5.983829431444549e-08,1.8674136321195144e-05,230.0,"34.397,22.392"
E01964N3926E02184N3685-PS-Str_PNo_Hom-M754_E02117N3755_S000,PS_manning003/E01964N3926E02184N3685-PS-Str_PNo_Hom-M754_E02117N3755_S000,0.06,4.052467428417048e-05,0.001,0.001,0.375,21.17,37.55,37542117,13.0,0.001,1.0,2.4314804570502287e-06,1.8674136321195144e-05,86.0,"37.367,21.072"
E01577N3897E01966N3571-PS-Str_PYes_Var-M837_E01741N3680_S000,PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Var-M837_E01741N3680_S000,0.84,5.935914790149093e-08,0.033,0.024,6.725,17.41,36.8,36791741,34.0,0.033,1.0,4.986168423725238e-08,1.8674136321195144e-05,199.0,"36.707,17.112"
E02113N3823E02873N3483-PS-Mur_PNo_Var-M809_E02305N3578_S000,PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Var-M809_E02305N3578_S000,0.11,4.048776072832853e-06,0.001,0.001,0.546,23.05,35.78,35782305,40.0,0.001,1.0,4.453653680116139e-07,1.8674136321195144e-05,216.0,"35.717,22.722"
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02467N3425_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02467N3425_S001,1.12,5.6235082718283724e-09,0.01,0.008,5.305,24.67,34.25,34252467,62.0,0.01,1.0,6.2983292644477776e-09,1.8674136321195144e-05,288.0,"34.067,24.372"
