idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
50440,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01650N3761_S000,0.14496231,0.0,0.0,9.661404394739698e-06,6.276371717209109e-05,0.0001182330464873,2.986405595446896e-05
50441,E02113N3823E02873N3483-PS-Str_PNo_Var-M809_E02259N3628_S000,0.14953995,3.841822748854364e-07,3.6799309514812658e-06,1.2110501967161484e-05,2.0231505371513104e-05,2.8528159923501462e-05,1.2670910713003988e-05
50470,E02113N3823E02873N3483-PS-Mur_PNo_Var-M809_E02218N3695_S000,0.105285645,4.6164661343803955e-07,4.853077005924014e-06,1.5643047452286325e-05,2.6791304134926283e-05,3.661704676626994e-05,1.6468044143853282e-05
50490,E01964N3926E02184N3685-PS-Mur_PNo_Var-M774_E02081N3777_S000,0.08544922,1.4618787603223427e-07,2.04200069779208e-06,1.4492688465231398e-05,6.318793646377277e-05,0.00011907619323334994,3.123378196152566e-05
50502,E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000,0.0579834,1.0050489478184894e-05,1.968855825726736e-05,4.862694834303538e-05,7.106110089243231e-05,0.00011558538863939986,5.17754233401795e-05
50509,E02113N3823E02873N3483-PS-Str_PYes_Var-M792_E02192N3708_S000,0.0869751,5.8071673788717605e-06,8.727064768257062e-06,2.5225185997578813e-05,3.918749884826914e-05,6.618168476422267e-05,2.8961653703305695e-05
50523,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M792_E02140N3614_S000,0.19379044,0.0,0.0,4.6040115111084645e-06,2.8486858257183863e-05,4.1776039103954634e-05,1.1923462098714234e-05
50526,E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02209N3683_S000,0.09307861,6.698668056538021e-06,1.333355892338811e-05,3.313584277741586e-05,4.775332214327097e-05,7.899702134533516e-05,3.511936435650976e-05
50531,E02113N3823E02873N3483-PS-Mur_PNo_Var-M809_E02318N3569_S000,0.12665176,4.949983502538661e-07,4.6740151326496225e-06,1.5321164492666427e-05,2.5509062429623306e-05,3.628225252908415e-05,1.6089440280124948e-05
50553,E01964N3926E02184N3685-PS-Mur_PNo_Var-M732_E02067N3699_S000,0.06713867,1.0581420344197813e-05,2.2737047692529392e-05,0.0001138409119191,0.00025862399675674396,0.00038379691549313995,0.0001416503466447401
