id	count	max	logsum	mean	sd	dzmin	dzmax
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02534N3432_S002	22741	3.514	9.819	0.808	0.633	0.01	0.01
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M871_E02095N3592_S003	14011	5.014	9.358	0.827	0.694	0.002	0.002
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M774_E02014N3634_S000	3519	3.197	7.52	0.524	0.498	0.001	0.001
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02023N3703_S000	1653	1.035	6.107	0.271	0.206	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02120N3675_S005	9073	3.934	8.707	0.666	0.59	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02225N3486_S005	18169	7.188	10.004	1.217	1.06	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02139N3548_S003	13082	4.324	9.306	0.841	0.68	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02146N3630_S002	19594	7.133	10.115	1.262	1.092	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02330N3507_S000	6940	3.631	8.234	0.543	0.532	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M732_E01661N3771_S000	783	0.489	4.791	0.153	0.1	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02441N3439_S004	25522	7.095	10.253	1.112	0.965	0.01	0.01
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M824_E01667N3857_S000	5248	1.317	7.468	0.333	0.248	0.007	0.008
PS_manning003/E01548N3896E01854N3659-PS-Mur_PNo_Hom-M754_E01622N3816_S000	582	0.299	4.197	0.113	0.068	0.001	0.002
PS_manning003/E01577N3897E01966N3571-PS-Mur_PYes_Var-M824_E01729N3669_S000	17561	4.629	9.744	0.971	0.735	0.008	0.013
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02140N3655_S002	9947	3.339	8.782	0.655	0.502	0.004	0.004
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M824_E02227N3683_S000	1817	0.632	5.919	0.204	0.156	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02359N3515_S000	4193	1.334	7.125	0.296	0.233	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02146N3630_S004	9372	3.005	8.706	0.644	0.518	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02337N3493_S004	13706	2.181	9.26	0.767	0.528	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02290N3438_S000	5493	1.385	7.633	0.376	0.243	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02235N3576_S005	14994	5.715	9.56	0.946	0.781	0.002	0.002
PS_manning003/E01964N3926E02184N3685-PS-Str_PNo_Var-M792_E02105N3765_S000	997	0.402	4.954	0.141	0.102	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02127N3724_S000	583	0.254	4.125	0.104	0.067	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01645N3675_S000	13911	5.228	9.334	0.814	0.681	-0.005	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02498N3438_S003	34205	6.161	10.476	1.036	0.749	0.008	0.01
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02417N3454_S003	9422	1.628	8.785	0.693	0.428	0.004	0.004
PS_manning003/E01517N3917E01678N3772-PS-Mur_PYes_Hom-M754_E01574N3813_S000	759	0.338	4.619	0.132	0.084	0.001	0.001
PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M837_E02047N3601_S000	5167	2.532	7.683	0.42	0.407	0.001	0.001
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01562N3822_S000	496	0.228	3.882	0.096	0.059	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M824_E02236N3646_S000	2412	0.878	6.412	0.252	0.184	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02545N3421_S005	3297	1.199	6.874	0.293	0.237	0.002	0.002
