id	count	max	logsum	mean	sd	dzmin	dzmax
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02242N3492_S004	88145	6.429	11.3	0.917	0.951	0.01	0.01
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02393N3468_S005	60828	4.822	10.895	0.886	0.872	0.01	0.01
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02287N3501_S002	56960	4.947	10.812	0.871	0.857	0.005	0.007
PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Var-M774_E02015N3756_S000	3485	0.859	6.747	0.244	0.177	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02296N3538_S000	5664	1.392	7.827	0.442	0.285	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02366N3438_S003	20131	2.85	9.706	0.816	0.643	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02351N3465_S001	13417	2.586	9.262	0.785	0.602	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01634N3664_S000	8049	2.191	8.434	0.572	0.386	0.004	0.004
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M871_E02335N3587_S001	14240	2.438	9.392	0.842	0.606	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M809_E02156N3661_S000	4307	0.821	7.213	0.315	0.199	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M774_E01634N3808_S000	5830	1.173	7.837	0.434	0.272	0.005	0.008
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M792_E02148N3497_S000	3661	0.81	7.019	0.305	0.183	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02120N3675_S003	73806	4.743	11.207	0.998	0.9	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02236N3526_S000	6330	1.395	8.043	0.492	0.302	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01639N3751_S000	15640	2.979	9.497	0.851	0.616	0.007	0.016
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02236N3526_S001	25524	3.613	10.092	0.946	0.823	0.002	0.002
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M792_E02026N3730_S000	5546	1.161	7.693	0.395	0.252	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M774_E01613N3768_S000	6721	1.35	8.112	0.496	0.308	0.001	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02408N3442_S002	41613	4.492	10.499	0.872	0.884	0.008	0.01
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01782N3777_S000	12110	2.606	9.147	0.775	0.564	0.001	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02201N3524_S004	29709	3.365	10.243	0.945	0.785	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02168N3560_S000	5746	1.123	7.833	0.439	0.273	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02121N3611_S002	71123	4.652	11.096	0.927	0.885	0.004	0.005
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01816N3807_S000	23724	2.953	10.01	0.938	0.717	0.007	0.01
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M792_E01658N3666_S000	20702	3.244	9.831	0.899	0.714	0.011	0.013
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02184N3638_S002	32506	3.848	10.353	0.965	0.846	0.007	0.007
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M824_E02051N3574_S000	7241	1.498	8.263	0.535	0.33	0.001	0.001
