eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02226N3500_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02226N3500_S005,1.48,1.2850854463208152e-08,0.008,0.008,5.454,22.26,35.0,35002226,85.0,0.008,1.0,1.9019264605548064e-08,1.8674136321195144e-05,466.0,"34.727,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02133N3599_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02133N3599_S004,1.11,7.144683007962536e-09,0.005,0.004,4.705,21.33,35.99,35992133,101.0,0.005,1.0,7.930598138838415e-09,1.8674136321195144e-05,270.0,"35.717,21.072"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02314N3535_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02314N3535_S004,0.77,3.14149315722536e-08,0.002,0.002,3.0,23.14,35.35,35352314,33.0,0.002,1.0,2.4189497310635273e-08,1.8674136321195144e-05,217.0,"35.057,23.052"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02321N3496_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02321N3496_S005,1.42,2.844136154562112e-08,0.008,0.007,5.6,23.21,34.96,34962321,132.0,0.008,1.0,4.0386733394781987e-08,1.8674136321195144e-05,523.0,"34.727,23.052"
E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02148N3750_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02148N3750_S000,0.11,1.2120392577537646e-05,0.001,0.001,0.74,21.48,37.5,37502148,11.0,0.001,1.0,1.3332431835291411e-06,1.8674136321195144e-05,19.0,"37.367,21.402"
E02113N3823E02873N3483-PS-Mur_PNo_Var-M824_E02390N3528_S000,PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Var-M824_E02390N3528_S000,0.17,4.001555293477758e-06,0.001,0.001,0.566,23.9,35.28,35282390,10.0,0.001,1.0,6.80264399891219e-07,1.8674136321195144e-05,78.0,"35.057,23.712"
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02243N3584_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02243N3584_S004,0.76,1.728899686510294e-08,0.002,0.002,3.418,22.43,35.84,35842243,30.0,0.002,1.0,1.3139637617478236e-08,1.8674136321195144e-05,272.0,"35.717,22.392"
E02113N3823E02873N3483-PS-Str_PYes_Var-M774_E02317N3557_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M774_E02317N3557_S000,0.06,9.532873584621025e-06,0.001,0.001,0.336,23.17,35.57,35572317,34.0,0.001,1.0,5.719724150772615e-07,1.8674136321195144e-05,129.0,"35.387,23.052"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02294N3487_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02294N3487_S002,1.83,3.2954785401790794e-08,0.014,0.013,4.607,22.94,34.87,34862294,117.0,0.014,1.0,6.030725728527715e-08,1.8674136321195144e-05,574.0,"34.727,22.722"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02468N3411_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02468N3411_S001,0.53,3.0355488531976984e-08,0.002,0.002,2.484,24.68,34.11,34112468,12.0,0.002,1.0,1.6088408921947803e-08,1.8674136321195144e-05,288.0,"34.067,24.372"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02126N3687_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02126N3687_S004,0.77,3.2857969582979573e-08,0.004,0.002,3.324,21.26,36.87,36862126,61.0,0.004,1.0,2.530063657889427e-08,1.8674136321195144e-05,264.0,"36.707,21.072"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02342N3454_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02342N3454_S001,0.82,1.9816156671537813e-08,0.005,0.005,2.449,23.42,34.54,34542342,85.0,0.005,1.0,1.6249248470661006e-08,1.8674136321195144e-05,439.0,"34.397,23.382"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02184N3522_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02184N3522_S001,0.95,2.630486565250096e-08,0.002,0.002,3.948,21.84,35.22,35222184,71.0,0.002,1.0,2.498962236987591e-08,1.8674136321195144e-05,519.0,"35.057,21.732"
E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02272N3638_S002,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02272N3638_S002,0.7,2.1610076675354786e-07,0.002,0.001,1.818,22.72,36.38,36382272,66.0,0.002,1.0,1.512705367274835e-07,1.8674136321195144e-05,196.0,"36.377,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02116N3637_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02116N3637_S001,1.11,2.0216123487737572e-08,0.004,0.004,3.648,21.16,36.37,36362116,94.0,0.004,1.0,2.2439897071388706e-08,1.8674136321195144e-05,417.0,"36.047,21.072"
