id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01562N3822_S000	496	0.229	3.89	0.097	0.059	0.001	0.001	0.244
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M824_E02236N3646_S000	2412	0.879	6.415	0.253	0.184	0.001	0.001	1.009
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02545N3421_S005	3320	1.199	6.891	0.296	0.239	0.002	0.002	1.323
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02260N3491_S000	8077	3.226	8.418	0.561	0.43	0.001	0.001	3.799
PS_manning003/E02020N3739E02658N3366-PS-Mur_PNo_Var-M809_E02193N3666_S000	1000	0.553	5.157	0.173	0.117	0.001	0.001	0.597
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02242N3492_S004	32943	9.15	10.702	1.349	1.317	0.008	0.01	9.831
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02393N3468_S005	28615	3.983	10.139	0.885	0.693	0.01	0.011	5.225
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02287N3501_S002	32339	7.216	10.424	1.041	0.897	0.005	0.007	7.695
PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Var-M774_E02015N3756_S000	751	0.46	4.741	0.151	0.099	0.001	0.001	0.488
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02296N3538_S000	3376	2.946	7.309	0.442	0.411	0.001	0.001	3.148
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02366N3438_S003	19294	2.244	9.611	0.774	0.608	0.002	0.004	2.432
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02351N3465_S001	18761	2.215	9.566	0.76	0.603	0.004	0.004	2.377
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01634N3664_S000	2101	1.576	6.672	0.376	0.301	0.004	0.004	1.694
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M871_E02335N3587_S001	6434	1.387	8.003	0.465	0.273	0.005	0.005	1.433
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M809_E02156N3661_S000	1520	1.709	6.016	0.269	0.235	0.001	0.001	1.865
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M774_E01634N3808_S000	1195	0.554	5.398	0.184	0.124	0.002	0.004	0.569
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M792_E02148N3497_S000	1449	1.425	6.082	0.301	0.242	0.001	0.001	1.598
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02120N3675_S003	17567	6.76	9.86	1.09	1.001	0.004	0.004	7.044
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02236N3526_S000	3604	2.415	7.424	0.464	0.432	0.001	0.001	2.795
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01639N3751_S000	10850	3.792	8.912	0.684	0.527	-0.002	0.002	4.071
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02236N3526_S001	17581	6.57	9.923	1.16	0.999	0.002	0.002	7.304
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M792_E02026N3730_S000	1611	1.144	6.151	0.291	0.212	0.001	0.001	1.265
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M774_E01613N3768_S000	3396	1.666	7.035	0.334	0.295	-0.002	0.001	1.846
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02408N3442_S002	28805	6.138	10.258	0.99	0.84	0.008	0.01	7.259
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01782N3777_S000	5943	2.759	7.943	0.474	0.465	0.002	0.002	2.942
