ID	Source_Region	Type	Mag	lon	lat	SlipModel	Scaling	RuptureModel	Rigidity	Depth	Strike	Dip	Rake	Length	Area	Slip	Location	LocationCount
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02204N3672_S003	E02020N3739E02658N3366	PS	8.61	22.04	36.72	S003	Str	PNo	Hom								36722204	57.0
E02020N3739E02658N3366-PS-Str_PNo_Var-M861_E02207N3659_S005	E02020N3739E02658N3366	PS	8.61	22.07	36.59	S005	Str	PNo	Var								36592207	43.0
E02113N3823E02873N3483-PS-Str_PYes_Hom-M850_E02173N3709_S000	E02113N3823E02873N3483	PS	8.5	21.73	37.09	S000	Str	PYes	Hom								37092173	40.0
E01517N3917E01678N3772-PS-Mur_PNo_Hom-M774_E01574N3813_S000	E01517N3917E01678N3772	PS	7.74	15.74	38.13	S000	Mur	PNo	Hom								38131574	20.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M754_E01575N3795_S000	E01517N3917E01678N3772	PS	7.54	15.75	37.95	S000	Mur	PYes	Hom								37951575	30.0
E01517N3917E01678N3772-PS-Str_PNo_Var-M809_E01619N3854_S000	E01517N3917E01678N3772	PS	8.09	16.19	38.54	S000	Str	PNo	Var								38541619	12.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02243N3633_S004	E02113N3823E02873N3483	PS	8.61	22.43	36.33	S004	Mur	PNo	Hom								36332243	65.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M754_E01563N3803_S000	E01517N3917E01678N3772	PS	7.54	15.63	38.03	S000	Str	PYes	Hom								38031563	16.0
E01517N3917E01678N3772-PS-Mur_PNo_Hom-M754_E01587N3805_S000	E01517N3917E01678N3772	PS	7.54	15.87	38.05	S000	Mur	PNo	Hom								38041587	32.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02218N3646_S004	E02020N3739E02658N3366	PS	8.61	22.18	36.46	S004	Str	PYes	Hom								36462218	42.0
E02113N3823E02873N3483-PS-Mur_PYes_Hom-M850_E02340N3543_S000	E02113N3823E02873N3483	PS	8.5	23.4	35.43	S000	Mur	PYes	Hom								35432340	44.0
