timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/02/14 14:22:29.183, 0, NVIDIA A100 80GB PCIe, 53 %, 30 %, 27641 MiB, 81920 MiB
2025/02/14 14:22:29.184, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:22:29.184, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:22:29.185, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:22:59.187, 0, NVIDIA A100 80GB PCIe, 37 %, 15 %, 27641 MiB, 81920 MiB
2025/02/14 14:22:59.187, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:22:59.188, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:22:59.188, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:23:29.190, 0, NVIDIA A100 80GB PCIe, 28 %, 3 %, 27641 MiB, 81920 MiB
2025/02/14 14:23:29.191, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:23:29.191, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:23:29.192, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:23:59.193, 0, NVIDIA A100 80GB PCIe, 49 %, 30 %, 27641 MiB, 81920 MiB
2025/02/14 14:23:59.194, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:23:59.195, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:23:59.195, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:24:29.197, 0, NVIDIA A100 80GB PCIe, 72 %, 30 %, 27641 MiB, 81920 MiB
2025/02/14 14:24:29.198, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:24:29.198, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:24:29.199, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:24:59.201, 0, NVIDIA A100 80GB PCIe, 72 %, 30 %, 27641 MiB, 81920 MiB
2025/02/14 14:24:59.203, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:24:59.204, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:24:59.204, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:25:29.205, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:25:29.206, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:25:29.207, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:25:29.207, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:25:59.208, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:25:59.209, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:25:59.210, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:25:59.210, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:26:29.211, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:26:29.212, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:26:29.212, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:26:29.213, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:26:59.214, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:26:59.215, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:26:59.216, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:26:59.216, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:27:29.217, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:27:29.218, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:27:29.219, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:27:29.219, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:27:59.220, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:27:59.221, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:27:59.221, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:27:59.222, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:28:29.223, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:28:29.224, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:28:29.225, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:28:29.226, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:28:59.226, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:28:59.227, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:28:59.227, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:28:59.228, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:29:29.229, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:29:29.229, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:29:29.230, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:29:29.231, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:29:59.232, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:29:59.233, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:29:59.234, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:29:59.235, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:30:29.235, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:30:29.236, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:30:29.237, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:30:29.237, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:30:59.239, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:30:59.240, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:30:59.240, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:30:59.242, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:31:29.243, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:31:29.244, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:31:29.244, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
